player_id,player_name,Latest_Year,off_poss,def_poss,possessions,box_oVPM_TS,box_oVPM_TOV,box_oVPM_SC,box_dVPM_TS,box_dVPM_TOV,box_dVPM_SC,box_off,box_def,box_net,source_box_off_gap,source_box_def_gap,source_box_net_gap
1630596,Evan Mobley,2026,21900,21861,43761,0.06963426672208217,-0.4993732296964343,0.1689780942478319,2.9691668100246362,-0.6454819844825594,1.1030530448549745,-0.2607608687265202,3.426737870397051,3.1659770016705306,-1.1102230246251565e-16,0.0,-4.440892098500626e-16
1631217,Moussa Diabate,2026,6639,6697,13336,-1.5144394509158152,-0.5744288872802158,4.315510079072333,0.2024487895931946,0.0400527594518167,0.6840922177303383,2.2266417408763024,0.9265937667753497,3.153235507651652,0.0,1.1102230246251565e-16,0.0
1628401,Derrick White,2026,24276,24250,48526,1.1414627977310103,0.6710096472144873,-0.2492273616842014,1.8807174540125167,-0.0429172012618376,-0.2691778323742736,1.5632450832612963,1.5686224203764056,3.131867503637702,0.0,0.0,0.0
202331,Paul George,2026,16238,16229,32467,1.7157824926694079,0.1301424332150389,-0.7695867209826053,0.9388996293172814,0.845655233222032,0.2547388004804595,1.0763382049018415,2.0392936630197727,3.115631867921614,0.0,-4.440892098500626e-16,-4.440892098500626e-16
1628991,Jaren Jackson Jr.,2026,20183,20134,40317,-0.36223568233100706,0.0230847077474877,-0.031816637293497,2.992978163636699,0.2915528960807927,0.1235472274633441,-0.3709676118770163,3.4080782871808357,3.0371106753038193,-1.1102230246251565e-16,0.0,0.0
204001,Kristaps Porzingis,2026,14777,14698,29475,1.036988349156353,-0.0180350130936865,-0.4507043589747971,2.609338684854255,-0.8279937257561313,0.6305173231068532,0.5682489770878693,2.4118622822049764,2.980111259292846,1.1102230246251565e-16,0.0,0.0
1628436,Luke Kornet,2026,9283,9346,18629,-0.8307064770903624,-0.020935944235069,1.909499127128792,2.4042573230716675,-0.6976077476846065,0.1763705975739105,1.0578567058033608,1.8830201729609715,2.9408768787643322,4.440892098500626e-16,-2.220446049250313e-16,4.440892098500626e-16
1642928,Dylan Cardwell,2026,1795,1796,3591,-1.7227790753508427,-0.7271156938075808,2.7720295895359595,2.1715029092783777,-0.0496796927940097,0.4758301968594121,0.3221348203775358,2.5976534133437803,2.919788233721316,0.0,0.0,0.0
1628369,Jayson Tatum,2026,22546,22492,45038,2.7472062662846586,0.482380721767918,-0.6102075028768047,0.6214148715331896,-0.4950984727081714,0.1193006061927179,2.619379485175772,0.24561700501773612,2.864996490193508,0.0,2.7755575615628914e-17,0.0
1641708,Amen Thompson,2026,13166,13201,26367,0.2337463300507218,-0.2871913110929203,1.2660636971711732,1.7535179201747597,0.510661885694464,-0.6205032102504313,1.2126187161289748,1.6436765956187924,2.8562953117477674,0.0,0.0,0.0
1628389,Bam Adebayo,2026,23778,23733,47511,-0.005923044540059499,-0.1194417199757039,-0.378247794532161,1.5707821386919443,0.0252087672711709,1.7620979784104582,-0.5036125590479243,3.3580888843735734,2.854476325325649,2.220446049250313e-16,0.0,0.0
1628973,Jalen Brunson,2026,24684,24580,49264,2.8679021207507005,1.3105158168898523,-0.2458043054679756,-1.039019606757145,0.2192124564877211,-0.3968216121320345,3.9326136321725778,-1.2166287624014585,2.7159848697711193,0.0,0.0,0.0
1630696,Dru Smith,2026,3568,3597,7165,-1.0290415147184926,0.1700584362271004,0.672437062025882,1.0376553004258222,1.8740888012902428,-0.0240793190578632,-0.18654601646551017,2.887664782658202,2.7011187661926916,-2.7755575615628914e-16,0.0,0.0
1629027,Trae Young,2026,21593,21540,43133,4.761631345674913,0.6736862457290584,-0.2989194352439525,-1.5762374765446105,0.1978637998890322,-1.112577348960529,5.136398156160019,-2.4909510256161074,2.6454471305439116,-8.881784197001252e-16,0.0,-8.881784197001252e-16
1629011,Mitchell Robinson,2026,11003,11083,22086,-2.5549777757984735,-0.743141101704506,3.764967560221405,1.5589968966468983,0.1043988241058829,0.5139617165836482,0.46684868271842594,2.1773574373364295,2.6442061200548554,5.551115123125783e-17,0.0,4.440892098500626e-16
