player_id,player_name,Latest_Year,oTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1629631,De'Andre Hunter,2026,-0.94,-0.31,-0.25,-0.06,0.11,-0.95,-0.09,0.06,-0.15,0.28,-1.23,-0.7,-1.93,-0.03,0.06,-1.29,0.05,-0.75,-0.2,0.19,5019,2520,2499
1630592,Jalen Wilson,2026,-1.52,0.05,0.53,-0.48,-0.04,-1.02,0.32,0.18,0.14,0.24,-1.51,-0.45,-1.95,0.02,-0.05,-1.46,-0.18,-0.27,0.01,0.56,2375,1183,1192
1630191,Isaiah Stewart,2026,-0.16,0.21,0.29,-0.07,-0.31,0.09,-0.5,-0.35,-0.15,-0.62,-0.53,-1.42,-1.95,-0.66,-0.24,-0.29,-0.59,-0.83,-0.1,-1.12,4917,2464,2453
1631108,Max Christie,2026,0.03,-0.1,-0.15,0.05,-0.79,0.05,-1.01,-0.37,-0.64,0.12,-1.05,-0.9,-1.95,-0.25,-0.32,-0.73,-0.25,-0.65,-0.89,-0.89,7534,3766,3768
1631218,Trayce Jackson-Davis,2026,-1.03,-1.27,-0.91,-0.36,0.94,-1.03,0.24,0.23,0.0,-0.02,-1.18,-0.78,-1.96,0.21,1.07,-2.25,-0.19,-0.59,-0.33,0.22,1827,905,922
1628997,Caleb Martin,2026,-1.41,-0.3,-0.14,-0.15,-0.49,-0.48,0.31,0.03,0.28,0.53,-2.07,0.1,-1.97,-0.13,-0.59,-1.48,0.52,-0.42,-0.79,0.84,3482,1732,1750
1642269,Devin Carter,2026,-1.64,-0.2,-0.19,-0.0,0.48,-1.12,0.21,-0.19,0.4,0.32,-1.34,-0.63,-1.98,-0.03,0.28,-1.62,0.26,-0.89,0.28,0.53,1527,765,762
1641767,Ben Sheppard,2026,-1.64,0.35,0.04,0.31,-0.11,-0.18,-0.63,-0.28,-0.35,0.41,-1.42,-0.56,-1.98,-0.18,0.26,-1.68,0.99,-1.55,0.24,-0.22,4858,2428,2430
203952,Andrew Wiggins,2026,-0.85,0.47,0.19,0.29,-0.75,-0.91,0.39,0.22,0.17,-0.41,-1.23,-0.77,-2.0,0.06,-0.7,-0.53,-0.63,-0.14,-0.28,-0.02,7739,3863,3876
1641715,Cam Whitmore,2026,0.06,-0.2,-0.14,-0.06,-0.27,-1.03,-0.0,-0.1,0.1,-0.54,-0.32,-1.69,-2.01,-0.03,-0.09,-0.23,-0.5,-1.19,-0.47,-0.54,1529,762,767
1642905,Yang Hansen,2026,-1.0,-1.12,-0.42,-0.7,-0.08,0.37,-0.1,-0.3,0.21,-0.06,-2.31,0.31,-2.01,-0.02,-0.26,-2.05,-0.0,0.31,-1.2,-0.16,1160,579,581
1627827,Dorian Finney-Smith,2026,-1.08,-0.61,0.09,-0.7,0.04,-0.01,-0.34,-0.09,-0.24,0.24,-1.85,-0.16,-2.01,-0.25,-0.18,-1.67,0.27,-0.43,-0.57,-0.1,1907,953,954
1629111,Jock Landale,2026,-0.78,-0.04,-0.57,0.52,1.38,-2.49,0.01,-0.32,0.32,-0.47,0.71,-2.76,-2.05,0.34,0.9,-0.19,-0.46,-2.3,1.34,-0.46,5455,2728,2727
101108,Chris Paul,2026,-0.96,-0.47,-0.27,-0.2,-0.06,-0.85,0.35,0.28,0.06,-0.08,-1.52,-0.53,-2.05,0.02,0.17,-1.69,-0.23,-0.3,-0.53,0.27,910,454,456
1631222,Jake LaRavia,2026,0.11,-0.17,-0.15,-0.01,0.57,-1.42,-0.04,0.14,-0.18,-0.64,0.43,-2.49,-2.05,-0.46,0.65,-0.22,-0.91,-1.58,0.4,-0.68,6610,3291,3319
1630560,Cam Thomas,2026,0.26,0.21,0.1,0.11,0.57,-1.96,-0.72,-0.39,-0.33,-0.44,1.19,-3.26,-2.07,0.01,1.06,0.13,-0.41,-2.85,0.78,-1.16,3380,1696,1684
1631126,ID_1631126,2026,-0.44,0.17,-0.02,0.2,-0.24,-0.36,-0.01,0.04,-0.04,-0.61,-1.35,-0.73,-2.08,-0.59,-0.01,-1.34,-0.07,-0.66,-0.07,-0.62,4211,2106,2105
1630551,Justin Champagnie,2026,-0.97,-0.55,-0.6,0.05,0.86,-1.13,-0.26,0.26,-0.52,-0.33,-0.43,-1.69,-2.12,0.26,1.29,-1.72,-0.34,-1.35,0.31,-0.59,4424,2203,2221
1642265,Rob Dillingham,2026,-1.24,-0.74,-0.62,-0.12,-0.06,0.43,0.44,0.49,-0.05,-0.99,-2.21,0.09,-2.13,0.03,-0.29,-1.92,-1.1,1.19,-0.8,-0.55,2380,1192,1188
1641750,Ryan Kalkbrenner,2026,-0.85,-0.66,-0.24,-0.43,-0.15,0.08,-1.01,-0.25,-0.76,0.83,-1.9,-0.27,-2.16,-0.4,-0.64,-1.26,0.16,-0.43,-0.81,-0.18,4815,2416,2399
1642262,Cody Williams,2026,0.26,-0.29,-0.06,-0.22,-0.59,-1.97,0.45,0.44,0.01,0.17,-0.81,-1.38,-2.19,-0.22,-1.19,0.38,0.29,-1.67,-0.88,0.62,4376,2186,2190
1629234,Drew Eubanks,2026,-0.49,-0.1,-0.1,-0.0,-0.4,-0.32,0.26,0.14,0.12,-0.46,-1.22,-0.97,-2.19,-0.68,-0.72,-0.5,-0.63,-0.34,-0.5,-0.2,2194,1087,1107
203482,Kelly Olynyk,2026,-1.74,-0.46,-0.26,-0.2,-0.07,-0.18,-0.34,-0.58,0.24,0.23,-1.99,-0.26,-2.25,0.31,-0.16,-1.83,0.38,-0.64,-0.53,-0.11,1427,722,705
1628502,Nigel Hayes,2026,-1.16,-0.87,-0.2,-0.66,0.24,-0.4,-0.0,-0.39,0.37,-0.09,-1.89,-0.39,-2.28,0.0,0.29,-2.18,0.01,-0.4,-0.63,-0.09,777,382,395
202687,Bismack Biyombo,2026,-0.24,-0.51,-0.21,-0.3,-0.22,-1.01,-0.03,-0.0,-0.03,-0.18,-1.13,-1.16,-2.3,-0.11,-0.39,-0.74,-0.06,-1.1,-0.73,-0.21,439,219,220
1641774,Tristan Vukcevic,2026,-0.28,-0.34,-0.4,0.06,-0.71,0.08,-0.4,0.1,-0.5,-0.56,-1.46,-0.87,-2.34,-0.13,-0.86,-0.6,-0.83,-0.04,-1.05,-0.96,2020,1010,1010
1631165,Keon Ellis,2026,-1.78,-0.11,-0.29,0.17,-0.42,-1.07,1.69,0.66,1.03,-0.7,-2.32,-0.03,-2.35,0.04,-0.13,-2.19,-0.77,0.74,-0.53,0.99,4202,2108,2094
1630245,Ayo Dosunmu,2026,-0.79,-0.2,0.01,-0.21,-0.67,-0.18,-0.43,-0.26,-0.17,0.06,-1.66,-0.7,-2.36,-0.15,-1.05,-0.61,-0.23,-0.47,-0.87,-0.37,6002,2991,3011
203897,Zach LaVine,2026,-0.43,-0.16,-0.2,0.05,-0.42,-1.13,-0.3,-0.23,-0.06,-0.54,-0.89,-1.49,-2.38,0.6,0.04,-0.93,-0.29,-1.2,-0.58,-0.84,4981,2488,2493
201144,Mike Conley,2026,-1.01,0.38,0.25,0.14,-0.85,-0.59,-0.09,-0.15,0.08,0.32,-1.66,-0.78,-2.44,-0.6,-0.66,-1.0,0.79,-1.57,-0.47,0.23,3495,1746,1749
1641707,Taylor Hendricks,2026,-0.89,-0.48,0.02,-0.51,-0.39,-1.0,0.58,0.1,0.48,-0.55,-1.54,-0.96,-2.5,0.23,-0.72,-0.82,-0.54,-0.42,-0.87,0.03,3265,1626,1639
1641765,Olivier-Maxence Prosper,2026,-0.27,-0.25,-0.01,-0.24,-0.59,-1.39,0.55,0.27,0.28,-0.66,-1.22,-1.28,-2.5,0.11,-0.93,-0.29,-0.77,-0.51,-0.84,-0.11,2708,1341,1367
1641712,Rayan Rupert,2026,-1.64,-0.68,-0.19,-0.48,-0.06,-0.06,0.18,-0.31,0.49,-0.53,-2.19,-0.32,-2.52,0.27,-0.0,-2.19,-0.62,0.3,-0.74,-0.35,3052,1530,1522
1642266,Ja'Kobe Walter,2026,-2.05,-0.31,-0.53,0.22,-0.01,-0.48,0.53,-0.4,0.93,-0.5,-2.21,-0.33,-2.54,0.28,-0.59,-1.62,-0.42,0.09,-0.32,0.03,4135,2057,2078
1630208,Nick Richards,2026,-1.05,-1.19,-0.7,-0.48,0.57,0.11,-0.68,-0.57,-0.12,-0.42,-1.56,-0.99,-2.55,0.11,0.18,-1.74,-0.66,-0.33,-0.62,-1.1,2144,1071,1073
1641718,Keyonte George,2026,1.44,0.15,0.14,0.01,-0.24,-2.33,-1.15,-0.41,-0.73,-0.04,1.03,-3.58,-2.56,-0.39,0.43,0.6,-0.07,-3.51,-0.09,-1.19,7365,3690,3675
1642852,Derik Queen,2026,0.88,0.07,0.45,-0.37,-0.69,-1.73,-0.39,-0.23,-0.15,-0.6,0.08,-2.65,-2.58,-0.12,-1.08,1.16,-0.44,-2.21,-0.62,-0.99,7314,3647,3667
1629023,P.J. Washington,2026,-2.22,-0.29,0.0,-0.29,-0.1,0.68,-0.48,-0.06,-0.41,0.02,-2.78,0.19,-2.59,-0.2,-0.02,-2.76,-0.04,0.23,-0.39,-0.46,6146,3056,3090
1629162,Jordan McLaughlin,2026,-0.91,-0.65,-0.14,-0.51,-0.22,-1.13,0.22,0.32,-0.12,-0.04,-1.77,-0.82,-2.59,0.14,-0.32,-1.45,-0.12,-0.7,-0.87,0.18,792,394,398
1631342,ID_1631342,2026,-1.48,0.47,0.26,0.2,0.12,-1.49,0.04,0.21,-0.18,-0.1,-1.1,-1.54,-2.64,-0.2,0.23,-1.33,0.4,-1.94,0.59,-0.06,1490,743,747
1642964,Brooks Barnhizer,2026,-0.97,-0.26,-0.05,-0.21,-0.53,-0.18,-0.05,-0.14,0.09,-0.4,-1.89,-0.75,-2.64,-0.25,-0.39,-1.5,-0.32,-0.43,-0.79,-0.45,1073,533,540
1642849,Nolan Traore,2026,-0.78,-0.15,-0.19,0.04,0.13,-1.41,-0.63,-0.41,-0.22,0.17,-0.83,-1.81,-2.64,0.03,-0.01,-0.82,0.17,-1.98,-0.02,-0.46,3687,1840,1847
1631213,Tyrese Martin,2026,-1.85,0.48,0.42,0.06,0.16,-1.55,0.14,0.13,0.01,0.12,-1.51,-1.17,-2.68,-0.18,0.34,-1.85,0.32,-1.49,0.64,0.26,3139,1571,1568
