player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
239,Darrick Martin,2000,-0.09,0.44,0.39,-0.16,0.64,-0.2,-1.04,-0.36,-1.64,0.41,0.45,-0.04,-0.37,-0.59,0.01,0.17,-0.16,-0.03,-0.14,-0.14,0.04,-0.58,0.56,0.22,0.34,-0.18,-0.24,-0.04,-0.28,-0.02,-1.17,0.94,-0.38,0.34,0.04,0.38,3536,1762,1774
1844,Fred Vinson,2000,-0.72,-0.15,-0.43,0.08,0.12,-0.09,0.32,-0.21,-0.4,0.24,0.06,0.18,-0.0,0.27,-0.15,0.22,0.03,-0.05,0.07,-0.17,0.06,0.46,0.1,0.15,-0.05,-0.04,-0.59,0.32,-0.28,-0.13,0.38,-0.97,0.08,0.23,0.24,0.06,152,78,74
221,Clar. Weatherspoon,2000,-0.85,-0.34,0.01,0.15,0.1,-0.29,-0.11,-0.06,-0.89,-0.55,-0.01,-0.55,-0.01,1.51,-0.03,0.57,0.9,-0.31,0.19,-0.27,0.15,1.16,0.06,0.08,-0.02,-0.19,-1.74,1.45,-0.29,-0.26,-1.32,-0.42,0.05,1.4,-0.56,-0.13,6360,3178,3182
1723,Matt Harpring,2000,-0.53,0.02,-0.25,-0.05,-0.13,-0.03,0.39,-0.17,-0.24,-0.03,0.02,-0.05,0.13,-0.22,-0.09,0.36,-0.0,-0.21,-0.0,-0.14,-0.13,0.24,0.4,0.13,0.27,-0.2,-0.29,0.0,-0.29,0.16,-0.0,-0.29,-0.13,0.13,0.1,0.2,269,133,136
712,Mario Bennett,2000,-0.26,-0.05,-0.15,-0.03,0.12,-0.05,0.03,-0.01,-0.2,0.06,0.03,0.02,0.01,-0.14,-0.09,0.02,-0.01,-0.03,-0.0,0.01,-0.03,-0.01,-0.04,-0.02,-0.02,0.03,-0.19,-0.11,-0.3,0.04,0.04,-0.23,0.03,-0.14,0.07,-0.01,18,9,9
280,Felton Spencer,2000,-0.41,-0.12,-0.74,0.1,-0.06,0.04,0.8,-0.21,-0.95,-0.03,-0.12,0.09,0.26,-0.1,-0.13,0.37,-0.14,-0.04,0.13,-0.32,-0.12,0.15,-0.18,0.11,-0.29,0.1,-0.21,-0.1,-0.31,0.05,0.46,-0.67,0.04,-0.14,0.23,-0.08,540,269,271
1544,Chris Crawford,2000,-0.79,0.33,0.21,-0.83,-0.59,-0.45,0.38,0.28,-2.23,-0.52,0.1,-0.62,0.15,0.37,-0.08,-0.05,0.12,0.38,0.07,-0.33,0.07,0.82,0.28,-0.09,0.37,-0.49,-0.56,0.25,-0.32,0.68,-0.04,-0.52,-0.45,0.7,-0.37,-0.21,2479,1241,1238
1732,Felipe Lopez,2000,-0.38,0.16,1.92,-0.16,-1.62,-0.24,-0.3,-0.33,-2.47,-1.21,-0.62,-0.59,1.19,-0.21,-0.14,-1.18,-0.2,0.51,0.15,0.67,0.09,0.66,0.15,0.06,0.08,0.12,-0.23,-0.09,-0.32,0.02,1.03,-1.26,-0.06,-0.03,-0.02,0.27,2925,1447,1478
70,Steve Kerr,2000,-0.27,0.01,-0.79,0.02,0.89,0.12,-0.09,-0.37,-1.03,0.48,0.41,0.08,-1.0,0.19,-0.21,0.05,-0.15,0.34,0.16,-0.39,0.17,0.76,-0.05,0.04,-0.09,-0.06,-0.51,0.19,-0.32,0.39,-0.72,0.2,-0.09,0.28,-0.52,-0.11,1015,502,513
672,Matt Bullard,2000,-0.34,-0.45,-0.36,-0.83,2.51,0.8,-2.15,-0.7,1.34,1.07,0.5,0.57,-0.41,-0.45,0.28,0.14,0.12,0.62,-0.02,-0.76,-0.69,0.06,-0.42,-0.33,-0.09,0.17,0.3,-0.64,-0.34,0.04,0.87,-0.57,0.18,-0.82,0.66,-0.25,3998,2004,1994
