nba_id,player_name,Latest_Year,Pos2,Defensive_Role,current_OffPoss,current_Minutes,current_GamesPlayed,window_OffPoss,window_Minutes,factor_off_poss,factor_def_poss,factor_possessions,pure_off,pure_def,pure_net,hybrid_off,hybrid_def,hybrid_net,hybrid_delta_off,hybrid_delta_def,hybrid_delta_net,off_resid,def_resid,actual_oTS,actual_oTOV,actual_oREB,actual_dTS,actual_dTOV,actual_dREB,box_oTS,box_oTOV,box_oREB,box_dTS,box_dTOV,box_dREB,hybrid_oTS,hybrid_oTOV,hybrid_oREB,hybrid_dTS,hybrid_dTOV,hybrid_dREB,prior_weight_oTS,prior_weight_oTOV,prior_weight_oREB,prior_weight_dTS,prior_weight_dTOV,prior_weight_dREB,hybrid_shift_oTS,hybrid_shift_oTOV,hybrid_shift_oREB,hybrid_shift_dTS,hybrid_shift_dTOV,hybrid_shift_dREB
1629614,Andrew Nembhard,2026,PG,Point of Attack,3219.0,1544.0,49.0,14977.0,7196.0,17284,17288,34572,-0.469941,2.21529,-1.07,-0.4512060053715159,2.246352117924932,1.795146112553416,0.018734994628484103,0.031062117924931965,2.865146112553416,0.5900589999999999,3.12529,-0.21,0.31,-1.16,-0.63,0.65,-0.93,0.05689957803389423,0.056034747433498566,-0.3650432035941803,-0.346967281088148,-0.07372328058084147,-0.2371407786315104,-0.18231906471334844,0.28971955500161034,-1.1486654956597777,-0.6074031787115298,0.629656979970181,-0.9011916833337196,0.10371292263015972,0.07985519591141398,0.014258013003307859,0.07983819459229295,0.02810883741848437,0.0415788890120856,0.027680935286651553,-0.020280444998389657,0.011334504340222207,0.02259682128847018,-0.020343020029819026,0.028808316666280476
203952,Andrew Wiggins,2026,SG,Point of Attack,3804.0,1765.0,57.0,23766.0,11411.0,26304,26359,52663,0.567654,0.449146,-0.37,0.6385051265028578,0.4685205618144655,1.1070256883173233,0.07085112650285785,0.019374561814465507,1.4770256883173234,1.8776540000000002,0.46914599999999995,-0.95,0.03,-0.39,0.1,0.1,-0.22,-0.1981983647301136,0.24675649382070544,0.25090370919429145,0.5197525355039417,-0.3298742047911771,-0.04735424532285131,-0.8968766509843211,0.04169381170806568,-0.38396603422088676,0.1226005529005317,0.09199757614223952,-0.21522356722830568,0.07066139061616733,0.053949072075960294,0.009414777434661445,0.053842564341864387,0.018615734018392345,0.02766608875281272,0.053123349015678833,0.011693811708065681,0.006033965779113248,0.0226005529005317,-0.008002423857760482,0.004776432771694317
1629014,Anfernee Simons,2026,PG,Chaser,2736.0,1372.0,55.0,20568.0,10202.0,20486,20454,40940,1.06027,-1.43105,-1.22,1.1776221450223598,-1.4085719196994377,-0.2309497746770779,0.1173521450223598,0.022478080300562198,0.9890502253229221,1.46027,0.9189499999999997,-1.32,1.02,-0.1,-1.17,-0.48,-0.7,0.3015420879765217,0.5624966237764581,0.25986120453718425,-0.9802184524652867,-0.6664265226830894,-0.3053288733982269,-1.175773184383481,0.9887867249915714,-0.09566139558573031,-1.1570332367084781,-0.4844484710003601,-0.6860402119905994,0.08894423196655697,0.06822523423997089,0.012056327160493827,0.0683246788740093,0.02386179249785244,0.03537068477645727,0.14422681561651896,-0.03121327500842863,0.004338604414269698,0.012966763291521799,-0.00444847100036011,0.013959788009400564
1641710,Anthony Black,2026,SG,Point of Attack,3780.0,1841.0,60.0,9894.0,4892.0,9920,9916,19836,-3.7759800000000006,0.689493,-0.9,-3.7095083446840165,0.6814022043594999,-3.0281061403245166,0.06647165531598409,-0.008090795640500081,-2.1281061403245167,-2.4159800000000002,0.4694930000000001,-0.61,-0.49,-0.26,-0.64,0.57,0.29,-0.39028573126209176,-0.3462904932931885,0.17652956833456365,-0.37620323472244976,0.4564371875856518,-0.24046831634555313,-0.5731351898090757,-0.47112397022239777,-0.24926918465254272,-0.6053385469589764,0.5645486361168228,0.2526991152016534,0.16778523489932887,0.13134851138353765,0.024582104228121928,0.13139453398738613,0.04800307219662058,0.07031689480592537,0.036864810190924246,0.01887602977760222,0.01073081534745729,0.03466145304102364,-0.005451363883177129,-0.03730088479834659
203076,Anthony Davis,2026,C,Mobile Big,1296.0,626.0,20.0,19712.0,9503.0,21474,21468,42942,2.31886,1.7602800000000003,3.81,2.3368714438398666,1.6915327396440056,4.028404183483872,0.018011443839866637,-0.06874726035599465,0.2184041834838717,1.9288599999999998,-1.47972,0.43,0.05,-0.09,2.21,-0.0,1.03,0.3779295367579526,0.3182040589041558,0.33896353869703616,1.4898996857954878,-0.11514913121548749,0.4642429927931305,0.4255635628148549,0.06751136451450482,-0.08506348348949277,2.1629715050806873,-0.002620837837206106,1.0109020724005244,0.0852006475249212,0.06529119874640898,0.011508009574663965,0.06530825496342738,0.022760378732702112,0.033756413718606534,-0.004436437185145081,0.017511364514504815,0.004936516510507222,-0.04702849491931271,-0.002620837837206106,-0.019097927599475595
1630162,Anthony Edwards,2026,SG,Helper,4016.0,1920.0,54.0,31320.0,15183.0,34160,34102,68262,2.99344,-0.161325,0.76,2.9961652493283832,-0.12186781682326575,2.8742974325051174,0.002725249328383139,0.039457183176734245,2.1142974325051176,1.2334399999999999,0.6786750000000001,1.58,0.39,-0.21,-1.09,0.35,-0.1,1.7532481492908887,0.19067487145870468,0.00022306004344554292,0.08231397889940403,-0.06722851890576616,-0.2815244822452877,1.5895823091421952,0.3816156003137425,-0.20847266012755414,-1.0406075229383431,0.34397103463808787,-0.10390632852301061,0.05530973451327434,0.04206393718452047,0.007265329845975007,0.0421324644682883,0.014450031790069939,0.021519568460920464,0.009582309142195156,-0.008384399686257538,0.0015273398724458542,0.04939247706165695,-0.006028965361912109,-0.003906328523010608
1630264,Anthony Gill,2026,PF,Helper,890.0,427.0,35.0,5358.0,2596.0,5305,5324,10629,-3.09103,-1.22439,-0.11,-3.2188266980344125,-1.2583370102811207,-4.477163708315533,-0.12779669803441251,-0.03394701028112057,-4.367163708315533,-2.44103,-1.19439,-0.44,-0.18,-0.03,-0.64,0.74,-0.13,-0.886353044445924,-0.22238757974855078,0.05335692328867897,-0.645145543012812,-0.0152296173801969,0.12933349189792642,-0.5622048034075082,-0.18934333131856373,-0.02624856330834028,-0.6411310542964856,0.6751622924639253,-0.09797824844856029,0.2737850787132101,0.2204261572373255,0.045004500450045004,0.2198124267291911,0.08585164835164835,0.12347711557458017,-0.12220480340750822,-0.009343331318563741,0.0037514366916597194,-0.001131054296485634,-0.06483770753607465,0.032021751551439714
1641810,Antonio Reeves,2026,SG,Chaser,127.0,66.0,9.0,1497.0,726.0,1469,1454,2923,-1.40728,-1.12787,-3.04,-1.3655400972436378,-1.126510081443022,-2.49205017868666,0.0417399027563623,0.0013599185569779237,0.54794982131334,-1.0072800000000002,0.7921300000000002,-0.42,-0.19,0.21,-1.75,-0.11,-0.06,-0.5470797829061516,-0.11207297200100601,0.7300697506217833,-1.526424019139342,-0.41816115782928565,-0.15790143439681018,-0.49326594575160077,-0.15062965914500134,0.2856355076529644,-1.6364712351756983,-0.18885392984372712,-0.09331491642359692,0.5765350245027385,0.5052206130010104,0.14543339150668994,0.5077860528097495,0.25588536335721596,0.34029038112522686,-0.07326594575160078,0.03937034085499866,0.07563550765296442,0.11352876482430174,-0.07885392984372712,-0.03331491642359692
1630574,Ariel Hukporti,2026,C,Anchor Big,812.0,404.0,46.0,1259.0,621.0,1249,1262,2511,-4.41545,-0.702451,-2.48,-4.4802962001236,-1.2727927086926376,-5.753088908816238,-0.06484620012360054,-0.5703417086926376,-3.2730889088162383,-2.06545,-1.122451,-1.78,-0.59,0.02,1.27,-1.03,0.18,-1.3956419009164645,-1.088862200286725,-0.15533157106478734,0.557150194437201,-0.9828963541988099,-0.34733285729143637,-1.5433991387605197,-0.862205638570421,-0.009241422792659663,0.8828621620766841,-1.0166334716795715,-0.016570399089750148,0.6155740227762388,0.5456529647144416,0.1667778519012675,0.5430847212165097,0.28376844494892167,0.3727634194831014,0.23660086123948032,-0.272205638570421,-0.029241422792659663,-0.3871378379233159,0.013366528320428506,-0.19657039908975013
1642854,Asa Newell,2026,PF,Unknown,944.0,445.0,40.0,944.0,445.0,938,941,1879,,,-1.64,,,,,,,,,-1.17,-0.07,0.26,-1.33,0.04,0.23,-0.08923443800179093,-0.5041576042629882,0.9026103628655371,-0.08169765936946191,-0.3085196084182159,-0.06562150499237814,-0.43428484547433016,-0.337119116650731,0.3952294534649699,-0.5629153990389975,-0.0809297739133296,0.0988846074841611,0.6807351940095303,0.6152584085315833,0.21043771043771045,0.6145022531749283,0.3469812630117974,0.4435245416913069,0.7357151545256697,-0.267119116650731,0.1352294534649699,0.7670846009610026,-0.1209297739133296,-0.13111539251583892
1641709,Ausar Thompson,2026,SG,Point of Attack,2972.0,1460.0,57.0,8980.0,4371.0,9159,9244,18403,-2.24721,3.77557,3.13,-2.313837728382027,3.7005158657487347,1.3866781373667076,-0.06662772838202713,-0.07505413425126539,-1.7433218626332923,-3.1872100000000003,1.42557,-0.98,-0.16,2.08,1.27,1.26,-0.18,-1.048331078057188,-0.38556388460923496,1.2279893928169123,0.6730927099028755,1.3653102575975145,-0.14165080135052613,-0.9922468102979098,-0.19174273636493597,2.0573618182808193,1.18666409762233,1.265403851477705,-0.17712208335130022,0.17922752934850794,0.14072614691809737,0.026570305027101712,0.13961280714817573,0.051313628899835796,0.07504502701620973,-0.01224681029790986,-0.031742736364935964,-0.02263818171918075,-0.08333590237767008,0.005403851477705057,0.0028779166486997687
