player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
1629652,Luguentz Dort,-2.314,0.205,-2.519,-0.287,0.219,-1.29,-0.125,0.289,-0.329,0.194,-0.187,-0.213,-0.007,-0.805,0.19,0.469,0.318,-0.671,-0.284,-1.58,0.118,-1.698,-0.821,54036
203115,Will Barton,-2.285,0.25,-2.535,-0.067,-0.428,-0.267,-0.062,-0.766,0.025,-0.055,0.075,-0.248,-0.054,-0.493,-0.122,-0.223,0.195,-0.166,0.121,-2.012,0.219,-2.231,-0.304,21107
203200,Justin Holiday,-1.981,0.558,-2.539,-0.061,-0.343,-0.197,0.058,-0.681,0.162,0.064,0.098,-0.13,0.053,-0.423,-0.36,0.282,0.036,-0.835,-0.262,-1.794,-0.183,-1.611,-0.928,24681
1631223,David Roddy,-1.416,1.135,-2.551,0.108,-0.362,0.065,-0.293,-0.318,-0.093,0.073,0.016,-0.483,-0.082,-0.164,-0.249,-0.487,-0.215,-0.21,0.143,-1.649,0.719,-2.368,-0.183,12427
1629673,Jordan Poole,-0.982,1.589,-2.571,0.196,-0.472,0.739,-0.464,-0.602,0.189,0.399,0.008,-0.819,0.087,0.335,-0.52,-0.02,0.058,-1.21,-0.475,-1.667,0.456,-2.123,-0.448,49843
1641748,Andre Jackson Jr.,-2.776,-0.191,-2.585,-0.406,-0.112,-0.265,-0.376,-0.202,0.117,0.201,-0.0,-0.453,-0.188,-0.781,-0.227,-1.057,0.69,0.187,0.287,-2.541,0.158,-2.699,0.114,8350
1641729,Brice Sensabaugh,0.472,3.064,-2.592,-0.388,-0.293,0.628,-1.004,1.688,-0.488,0.211,-0.142,-0.393,-0.145,0.199,-0.334,-0.392,-0.187,-1.081,-0.471,-0.181,2.494,-2.675,0.083,16009
1630201,Malachi Flynn,-1.972,0.628,-2.6,-0.295,0.1,-1.036,-0.283,-0.301,-0.045,0.138,-0.016,-0.638,-0.045,-0.198,-0.049,0.271,-0.016,0.087,-0.274,-2.021,0.679,-2.7,0.1,12644
203995,Vasilije Micic,-1.237,1.363,-2.6,0.327,-0.038,0.198,-0.925,-0.612,0.156,0.075,-0.073,-0.45,0.17,-0.248,-0.202,-0.278,0.118,-0.249,-0.569,-1.756,0.068,-1.824,-0.776,7791
1642886,Koby Brea,-1.729,0.884,-2.613,0.013,-0.157,-0.615,-0.281,-0.925,-0.018,0.328,0.009,0.386,-0.026,-0.461,-0.042,-0.256,-0.243,-0.199,-0.126,-0.909,0.219,-1.128,-1.485,330
