player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1886,Jonathan Bender,2000,-0.04,0.15,-0.59,0.22,-0.09,0.02,0.68,-0.36,-0.92,-0.1,-0.15,0.04,-0.11,-0.05,-0.08,0.06,-0.3,-0.03,-0.0,-0.03,0.18,-0.43,-0.44,-0.28,-0.17,0.05,-0.43,-0.37,-0.8,-0.11,0.22,-0.65,-0.02,-0.36,-0.21,-0.39,621,309,312
953,Lorenzen Wright,2000,-1.23,-0.46,0.08,-0.01,-1.21,-0.07,1.13,-0.99,-2.38,-0.92,-0.24,-0.68,0.62,0.17,0.2,-1.54,0.04,0.45,-0.26,1.07,0.45,1.04,-0.23,-0.1,-0.13,-0.02,-1.16,0.36,-0.8,0.81,1.54,-2.7,-0.04,0.4,-0.3,-0.25,23710,11798,11912
122,Fred Roberts,2000,-0.6,0.04,-0.4,0.21,-0.51,-0.01,0.91,-0.54,-0.39,0.0,-0.01,0.0,-0.03,-0.12,-0.15,0.32,-0.29,0.13,0.02,-0.45,0.12,0.14,-0.13,-0.01,-0.13,0.02,-0.6,-0.2,-0.8,0.06,0.12,-0.72,0.2,-0.4,-0.03,-0.11,163,82,81
1474,Larry Krystkowiak,2000,-0.59,-0.13,-0.61,0.33,-0.23,-0.16,0.84,-0.33,-0.19,0.1,0.03,0.06,-0.01,-0.19,-0.14,0.26,-0.3,0.14,0.01,-0.4,0.08,-0.11,-0.04,0.01,-0.06,0.01,-0.55,-0.24,-0.8,-0.08,0.1,-0.65,0.0,-0.24,0.09,-0.03,45,23,22
1732,Felipe Lopez,2000,-0.52,0.43,2.82,0.35,-2.62,-0.57,-0.2,-0.9,-3.3,-1.05,-0.46,-0.6,0.6,-0.24,-0.39,-0.73,-0.84,0.21,0.17,0.52,0.46,0.48,0.38,0.43,-0.05,0.09,-0.91,0.1,-0.81,-0.07,0.79,-1.7,-0.06,0.16,-0.45,0.47,7379,3665,3714
1607,Troy Hudson,2000,0.68,-0.41,-0.86,0.59,1.45,-0.37,-0.59,0.61,-0.39,-0.32,0.49,-0.82,-0.55,-0.4,-0.04,-1.3,-0.38,0.11,-0.34,1.19,0.6,-0.53,0.04,-0.02,0.06,-0.54,0.08,-0.9,-0.83,0.26,-0.25,0.32,-0.74,-0.16,-0.87,-0.5,8332,4157,4175
1753,Toby Bailey,2000,-1.17,-0.35,0.7,-0.07,-1.06,-0.06,0.38,-0.59,-1.05,-0.83,-0.58,-0.25,0.24,-0.64,-0.29,-0.03,0.1,0.12,-0.09,-0.08,-0.17,0.43,0.29,-0.18,0.47,0.3,-0.78,-0.05,-0.83,0.98,0.44,-1.22,0.37,-0.42,-0.59,0.59,2821,1387,1434
1125,Larry Stewart,2000,-0.54,-0.49,2.06,-0.02,-1.01,0.03,-1.06,-0.85,0.66,-0.25,0.01,-0.26,0.38,-0.73,-0.44,0.16,0.24,-1.1,-0.15,0.94,-0.13,-0.84,0.78,0.78,-0.0,-0.44,-0.29,-0.54,-0.83,-0.03,-0.43,0.14,-0.6,0.05,0.13,0.34,3762,1880,1882
1509,Kelvin Cato,2000,-0.69,-0.43,-0.25,0.09,0.14,0.34,0.11,-1.16,-1.72,-1.23,0.1,-1.32,-0.37,1.84,0.31,0.49,0.84,-0.01,0.29,-0.48,0.46,1.37,-0.18,-0.16,-0.02,0.14,-2.07,1.22,-0.84,-0.35,-0.07,-2.0,-0.27,1.49,-1.6,-0.04,12243,6086,6157
989,Ben Davis,2000,-1.2,-0.5,0.13,-0.35,-1.06,0.02,0.92,-0.28,-0.64,-0.03,-0.07,0.03,0.38,-0.88,-0.28,0.53,-0.48,-0.21,0.03,-0.32,-0.09,-0.26,0.05,0.13,-0.08,0.1,-0.15,-0.7,-0.85,0.73,0.53,-0.68,0.15,-0.85,0.35,0.15,611,303,308
