nba_id,player_name,Latest_Year,box_prior_source,Pos2,Defensive_Role,current_OffPoss,current_Minutes,current_GamesPlayed,window_OffPoss,window_Minutes,factor_off_poss,factor_def_poss,factor_possessions,box_off,box_def,box_net,pure_off,pure_def,pure_net,prior_off,prior_def,prior_net,pure_RESID,prior_RESID,shift_off,shift_def,shift_net,box_oTS,pure_oTS,prior_oTS,shift_oTS,box_oTOV,pure_oTOV,prior_oTOV,shift_oTOV,box_oREB,pure_oREB,prior_oREB,shift_oREB,box_dTS,pure_dTS,prior_dTS,shift_dTS,box_dTOV,pure_dTOV,prior_dTOV,shift_dTOV,box_dREB,pure_dREB,prior_dREB,shift_dREB
1631200,Kris Murray,2026,current_single_season,SF,Chaser,2142.0,1026.0,43.0,2142.0,1026.0,2180,2207,4387,-0.6377288021930446,0.6857119874468742,0.04798318525382961,-1.75,0.94,-0.8,-2.49,1.17,-1.32,0.17,0.15,-0.7400000000000002,0.22999999999999998,-0.52,-1.3933181830186858,-2.31,-3.25,-0.94,-0.24164999390240052,-0.4,-0.38,0.020000000000000018,0.9972393747280418,0.88,1.02,0.14,0.5778927780694516,0.75,1.1,0.3500000000000001,0.2705453249786967,0.37,0.37,0.0,-0.162726115601274,-0.26,-0.33,-0.07
1642384,Isaiah Crawford,2026,current_single_season,SG,Unknown,128.0,67.0,11.0,128.0,67.0,128,123,251,-0.1635287914950027,-0.6943323260948595,-0.8578611175898623,-0.52,0.08,-0.44,-0.68,-0.65,-1.33,-0.15,-0.1,-0.16000000000000003,-0.73,-0.8900000000000001,-0.12587070905875963,-0.65,-0.58,0.07000000000000006,-0.05859040646233675,0.16,0.12,-0.04000000000000001,0.020932324026093685,0.03,-0.2,-0.23,-0.20027910570448546,0.22,-0.04,-0.26,0.22512856718651847,0.32,0.42,0.09999999999999998,-0.7191817875768926,-0.37,-0.95,-0.58
1628420,Monté Morris,2026,current_single_season,PG,Point of Attack,138.0,65.0,6.0,138.0,65.0,138,137,275,0.35903719997494843,-0.6698338967613066,-0.31079669678635813,-1.18,0.2,-0.98,-0.81,-0.53,-1.34,-0.19,-0.13,0.3699999999999999,-0.73,-0.3600000000000001,-1.4608864149065952,-1.11,-2.33,-1.22,1.0588679516128359,-0.1,0.96,1.06,0.7610556632687078,0.08,0.55,0.47000000000000003,0.09512387301424957,0.25,0.31,0.06,-0.7070799388540246,0.21,-0.55,-0.76,-0.05787783092153145,-0.12,-0.15,-0.03
1629652,Luguentz Dort,2026,current_single_season,SG,Wing Stopper,3230.0,1576.0,56.0,3230.0,1576.0,3239,3274,6513,-1.4412810167520498,1.1701495157438033,-0.27113150100824646,-0.97,0.76,-0.21,-2.54,1.19,-1.35,0.39,0.16,-1.57,0.42999999999999994,-1.1400000000000001,-1.4995153692211256,-0.65,-2.03,-1.38,-0.04133380516871073,0.29,0.13,-0.15999999999999998,0.09956815763778647,-0.42,-0.48,-0.06,0.6472112013802369,0.74,0.77,0.030000000000000027,0.38496370779540845,-0.07,0.21,0.28,0.13797460656815805,-0.49,-0.11,0.38
1630699,MarJon Beauchamp,2026,current_single_season,SF,Chaser,182.0,85.0,5.0,182.0,85.0,156,155,311,-1.406086912242522,0.5291296008825428,-0.8769573113599791,-0.41,-0.18,-0.59,-1.76,0.4,-1.36,-0.13,-0.12,-1.35,0.5800000000000001,-0.7700000000000001,-0.3030174291516669,-0.13,-0.28,-0.15000000000000002,-0.516187558120758,-0.08,-0.54,-0.46,-0.586881924970097,-0.1,-0.86,-0.76,0.2021972827874503,-0.29,0.09,0.38,0.4538061723632384,0.17,0.51,0.33999999999999997,-0.12687385426814596,-0.03,-0.16,-0.13
1630533,Ziaire Williams,2026,current_single_season,SF,Point of Attack,2185.0,1076.0,47.0,2185.0,1076.0,2194,2191,4385,-0.4776372406330668,0.28612847073307895,-0.19150876989998783,-1.64,0.29,-1.35,-1.87,0.49,-1.39,-0.19,-0.05,-0.2300000000000002,0.2,-0.039999999999999813,-0.23122046582767697,-0.31,-0.31,0.0,-0.287156448348236,-1.36,-1.26,0.10000000000000009,0.04073967354284616,0.07,-0.28,-0.35000000000000003,-0.47778426653466655,-0.92,-0.98,-0.05999999999999994,1.1322697615227175,1.39,1.74,0.3500000000000001,-0.368357024254972,-0.03,-0.25,-0.22
1628380,Zach Collins,2026,current_single_season,C,Mobile Big,389.0,184.0,10.0,389.0,184.0,376,385,761,-0.8397135603484314,-0.9658492054388256,-1.8055627657872568,0.38,-0.02,0.37,-0.48,-0.91,-1.39,0.12,0.22,-0.86,-0.89,-1.7599999999999998,-0.027449801421497666,-0.12,-0.13,-0.010000000000000009,-0.37341982235171234,0.04,-0.24,-0.27999999999999997,-0.4388439365752213,0.2,-0.43,-0.63,-0.17877430209568573,-0.3,-0.32,-0.020000000000000018,-0.7653276799983252,0.31,-0.54,-0.8500000000000001,-0.021747223344814753,0.12,0.05,-0.06999999999999999
203501,Tim Hardaway Jr.,2026,current_single_season,SG,Chaser,3758.0,1820.0,67.0,3758.0,1820.0,3779,3787,7566,1.182125609146268,-2.4397725237843493,-1.2576469146380813,0.54,-1.21,-0.67,0.98,-2.38,-1.4,-0.09,0.01,0.43999999999999995,-1.17,-0.7299999999999999,1.025985063869935,0.47,0.99,0.52,0.5228558127542844,0.53,0.95,0.41999999999999993,-0.3667152674779514,-0.68,-1.19,-0.5099999999999999,-1.5330099165894446,-0.14,-1.08,-0.9400000000000001,-0.5733953529145659,-0.83,-1.03,-0.20000000000000007,-0.33336725428033864,0.07,-0.05,-0.12000000000000001
1641713,GG Jackson,2026,current_single_season,SF,Helper,1931.0,926.0,45.0,1931.0,926.0,1912,1913,3825,-0.19706486804416823,-0.8962657857049952,-1.0933306537491634,0.78,-1.67,-0.89,0.48,-1.87,-1.4,0.36,0.32,-0.30000000000000004,-0.20000000000000018,-0.5099999999999999,-0.08878593828673409,0.57,0.48,-0.08999999999999997,-0.7105955353386813,-0.09,-0.47,-0.38,0.6023166055812471,0.09,0.26,0.17,-0.370973680030978,-1.07,-0.99,0.08000000000000007,-0.21698974234633633,0.33,-0.08,-0.41000000000000003,-0.30830236332768074,-1.08,-0.92,0.16000000000000003
1641748,Andre Jackson Jr.,2026,current_single_season,SG,Point of Attack,421.0,209.0,35.0,421.0,209.0,428,418,846,-0.4407023839414259,-0.07638359413424603,-0.5170859780756719,-1.28,0.26,-1.02,-1.52,0.1,-1.42,-0.23,-0.14,-0.24,-0.16,-0.3999999999999999,-1.48467972303773,-0.73,-1.86,-1.1300000000000001,-0.47696769729152966,-0.38,-0.75,-0.37,1.5209450363878336,0.01,1.19,1.18,-0.17603963974131304,-0.65,-0.51,0.14,0.09907951630228899,0.83,0.57,-0.26,0.0005765293047780146,0.13,0.08,-0.05
