player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1630611,Gui Santos,2026,0.360,-0.150,1.550,0.000,-1.910,0.060,2.920,0.300,0.400,0.100,0.300,-0.100,-0.446,-0.361,-0.085,0.486,-0.510,0.020,0.450,-0.010,0.060,0.140,0.520,0.490,0.380,0.020,0.360,0.110,0.278,0.345,-0.067,-0.038,-0.146,0.768,0.340,0.730,1.070,0.000,5570,2790,2780
1642396,Blake Hinson,2026,-0.590,0.240,0.620,0.140,-0.030,-0.330,0.900,-0.040,0.140,-0.190,0.330,-0.180,-0.263,-0.350,0.087,0.913,-0.090,-0.060,-0.270,0.300,0.360,-0.080,0.140,0.410,0.480,-0.150,0.630,-0.070,0.073,0.110,-0.037,-0.023,-0.303,0.483,0.610,0.460,1.070,0.000,1195,596,599
1627783,Pascal Siakam,2026,-0.340,0.240,-1.260,0.160,1.610,0.140,-0.070,1.070,1.230,-1.420,2.650,-0.160,0.996,0.836,0.160,-0.496,-0.330,-0.000,0.550,0.190,-0.220,-0.520,1.550,0.040,0.100,0.160,-0.060,-0.060,-0.266,-0.397,0.131,-0.314,2.066,-0.226,1.570,-0.540,1.040,0.010,8551,4274,4277
1641740,Jaylen Clark,2026,-0.210,-0.390,-0.110,-0.230,0.320,-0.080,-1.170,-0.900,-0.960,-0.640,-0.320,0.060,0.584,0.415,0.169,1.006,-0.040,0.450,0.440,0.140,-0.390,-0.090,0.240,0.680,0.680,0.190,0.490,0.000,0.347,0.169,0.178,-0.697,-0.316,1.027,0.690,0.330,1.020,0.000,3604,1783,1821
1630167,Obi Toppin,2026,0.120,0.810,0.570,-0.240,-0.700,0.090,2.220,1.130,0.720,0.800,-0.080,0.410,0.535,-0.079,0.614,0.045,-0.340,-0.280,0.390,-0.110,-0.050,0.270,0.450,-0.160,0.010,-0.120,0.130,-0.170,-0.376,-0.067,-0.309,-0.154,1.665,-0.536,1.710,-0.690,1.020,0.000,1770,889,881
1641796,Pelle Larsson,2026,1.090,0.880,-1.140,-0.070,0.050,-0.140,0.950,1.540,1.440,-0.470,1.910,0.100,0.044,-0.163,0.207,-1.004,0.470,-0.100,0.450,0.000,-0.920,-0.230,1.290,-0.120,-0.110,0.220,-0.330,-0.010,0.338,0.063,0.275,0.192,1.584,0.218,0.580,0.410,0.990,0.000,7915,3950,3965
1631204,Marcus Sasser,2026,-0.200,0.340,0.650,0.770,-0.450,-0.260,2.620,1.290,1.550,0.220,1.330,-0.260,-0.661,-0.609,-0.052,0.101,-0.300,0.100,0.400,0.100,-0.090,0.100,1.220,0.130,0.400,-0.010,0.410,-0.270,0.478,0.307,0.171,-0.348,0.629,0.608,0.730,0.260,0.990,-0.000,1811,915,896
1630541,Moses Moody,2026,-1.250,0.000,2.970,-0.130,-1.720,-0.310,2.320,-1.030,-0.720,-0.250,-0.470,-0.310,-0.393,-0.769,0.376,0.603,0.040,0.110,0.370,0.510,-0.400,0.110,-0.070,1.710,1.600,0.040,1.560,0.110,0.312,-0.093,0.405,-0.232,-1.423,2.022,-0.820,1.790,0.980,0.010,6261,3134,3127
201935,James Harden,2026,-1.260,1.100,1.900,-0.010,-0.630,1.140,-2.440,3.370,2.200,0.760,1.440,1.170,0.132,-0.055,0.187,-1.342,0.240,0.050,-0.120,-0.400,-0.110,-0.050,-1.370,-0.750,-0.710,0.010,-0.720,-0.040,-0.463,-0.297,-0.166,0.023,3.502,-1.213,2.160,-1.190,0.970,-0.000,10795,5407,5388
1628379,Luke Kennard,2026,-1.340,0.530,0.000,1.420,1.330,0.150,2.980,2.760,2.590,-0.330,2.920,0.170,-0.498,0.103,-0.601,-1.022,0.160,-0.440,0.130,0.330,-0.300,0.120,-1.240,-0.040,0.100,0.160,-0.060,-0.140,-0.453,0.107,-0.560,0.163,2.262,-0.493,1.240,-0.330,0.920,0.010,7814,3911,3903
