player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1709,Michael Olowokandi,1999,-0.85,-0.73,-0.68,-0.47,-0.22,-0.77,-1.92,-0.29,0.04,0.22,-0.18,0.32,-2.52,-0.9,-3.42,0.44,-0.68,-1.84,0.72,-1.62,-1.45,0.36,4684,2340,2344
961,John Wallace,1999,-0.47,-0.19,-0.99,-0.12,-0.87,0.33,0.01,0.51,-0.43,-0.04,-0.37,-1.64,-1.26,-2.18,-3.44,-0.25,-0.49,-0.77,-1.59,-0.59,-0.66,-2.07,11994,6018,5976
381,James Robinson,1999,-1.75,-0.19,-0.12,-0.31,0.19,0.58,-1.75,-0.76,-0.59,-0.52,-0.08,0.18,-1.13,-2.32,-3.45,-0.0,0.63,-1.76,0.76,-3.08,0.46,-0.41,6534,3272,3262
990,Malik Rose,1999,-2.39,0.26,-1.38,-0.42,-0.95,0.83,-0.42,-0.22,0.43,0.12,0.31,-0.29,-2.69,-0.78,-3.47,-0.25,0.75,-3.44,0.2,-0.98,-0.55,0.14,4528,2246,2282
704,Shawn Respert,1999,-0.35,-0.03,0.01,0.09,-0.08,-0.7,-2.07,-0.66,0.3,-0.08,0.37,-0.87,-0.76,-2.78,-3.55,0.13,-0.61,-0.15,-0.58,-2.2,-0.69,-0.57,3812,1914,1898
920,A.C. Green,1999,-2.68,-0.63,0.51,0.13,0.38,0.31,-0.49,1.1,-0.8,-0.33,-0.47,-0.09,-2.14,-1.43,-3.57,-0.33,0.67,-2.81,-0.77,-0.66,0.82,-0.89,12701,6331,6370
1508,Maurice Taylor,1999,-0.53,-0.26,-0.16,-0.48,0.31,-0.08,-2.01,-0.34,-0.37,-0.34,-0.03,-0.36,-0.93,-2.77,-3.7,-0.19,-0.42,-0.51,-0.39,-2.38,-0.24,-0.73,11129,5543,5586
786,Gerald Wilkins,1999,-2.26,-0.21,-0.01,0.16,-0.18,-0.12,-1.18,-0.09,0.24,-0.13,0.37,-0.24,-2.23,-1.47,-3.7,-0.13,-0.03,-2.2,-0.71,-0.76,-0.13,0.0,4380,2196,2184
386,Elliot Perry,1999,-1.89,-0.41,-0.66,-0.34,-0.32,-0.11,-0.78,0.05,0.3,0.44,-0.14,-0.43,-2.79,-0.94,-3.73,-0.16,-0.23,-2.56,-0.15,-0.79,-0.77,-0.13,7557,3771,3786
763,Tony Massenburg,1999,-0.53,0.0,-1.02,-0.56,-0.46,-0.2,-1.75,0.47,0.18,-0.04,0.22,-0.2,-1.81,-1.95,-3.75,-0.23,-0.32,-1.49,-0.06,-1.89,-1.22,-0.02,7578,3774,3804
180,John Crotty,1999,-0.53,-0.09,-1.55,-0.79,-0.78,0.16,-1.52,-0.01,-0.47,-0.42,-0.07,0.39,-1.88,-1.87,-3.75,-0.23,-0.02,-1.86,0.13,-2.0,-1.39,-0.08,2830,1418,1412
1600,Kornel David,1999,-1.89,-0.23,-0.33,-0.13,-0.19,-0.48,-1.75,-0.66,0.13,-0.21,0.35,0.26,-2.44,-1.38,-3.81,0.25,-0.4,-2.04,0.41,-1.79,-0.81,0.39,3318,1653,1665
922,Elden Campbell,1999,-1.74,0.16,-0.32,-0.59,0.27,-0.61,-1.05,-0.29,-0.41,0.04,-0.46,-0.01,-2.32,-1.53,-3.85,0.29,-0.61,-1.71,0.1,-1.63,-0.93,-0.42,12776,6376,6400
938,Rony Seikaly,1999,-2.01,-0.08,-1.09,-0.35,-0.74,0.35,0.22,0.21,-0.46,-0.29,-0.19,-0.84,-3.24,-0.71,-3.95,-0.12,-0.42,-2.82,-0.7,-0.01,-0.74,-1.3,6350,3197,3153
955,Samaki Walker,1999,-3.04,-0.43,-0.58,-0.4,-0.16,0.09,0.32,0.05,-0.53,-0.15,-0.37,-0.7,-3.34,-0.89,-4.23,0.21,0.25,-3.59,-1.07,0.18,-0.49,-1.23,5537,2751,2786
915,Rodney Rogers,1999,0.59,0.03,-0.22,-0.56,0.34,-0.2,-2.73,0.28,-0.73,0.01,-0.73,-1.12,0.26,-4.55,-4.29,0.12,0.25,0.01,-0.65,-3.9,-0.42,-1.85,12864,6420,6444
376,Eric Montross,1999,-1.69,-0.88,-0.48,-0.06,-0.42,-0.31,-0.78,-0.02,-0.02,0.2,-0.23,-0.53,-2.9,-1.42,-4.32,-0.51,-0.55,-2.35,-0.45,-0.97,-0.79,-0.55,4767,2367,2400
1516,Ed Gray,1999,-2.47,-0.14,-0.19,0.15,-0.34,0.4,-1.75,-0.35,-0.31,-0.24,-0.07,-0.17,-2.24,-2.11,-4.35,0.14,0.57,-2.81,-0.7,-1.41,0.21,-0.48,3228,1605,1623
901,Otis Thorpe,1999,0.53,-0.02,-0.41,-0.35,-0.06,-1.63,-1.68,0.53,-1.48,-0.97,-0.51,0.14,-1.88,-3.14,-5.02,-0.49,-0.92,-0.96,-0.58,-2.56,-2.04,-1.34,13966,6992,6974
323,Greg Foster,1999,-1.53,-0.83,-0.62,-0.26,-0.36,-0.03,-1.86,-0.05,-0.53,-0.21,-0.32,0.33,-2.75,-2.41,-5.16,-0.92,0.02,-2.77,-0.22,-2.19,-0.65,-0.2,8277,4124,4153
1540,Eric Washington,1999,-2.3,-0.32,-0.72,-0.22,-0.49,-0.36,-1.37,-0.6,-0.59,-0.05,-0.53,-0.18,-2.99,-2.39,-5.38,0.14,0.59,-3.58,-0.36,-2.03,-1.08,-0.77,8486,4242,4244
