player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
201572,Brook Lopez,2026,1.14,0.88,0.1,0.78,0.26,0.13,0.3,-0.17,-2.36,1.8,1.26,0.48,0.78,0.54,-0.47,-0.03,-0.43,0.07,1.27,1.33,-1.09,1.4,0.31,-0.0,17180,8596,8584
1642066,Myron Gardner,2026,-1.73,-1.61,-0.23,-1.38,-0.12,0.41,0.16,0.25,1.04,0.37,0.62,0.34,0.28,-0.25,0.08,0.12,-0.03,0.11,-1.32,0.45,-0.28,0.56,0.29,0.01,1760,879,881
1627759,Jaylen Brown,2026,1.74,1.47,-0.34,1.81,0.27,0.36,0.52,-0.16,-0.43,0.4,0.43,-0.01,0.44,-0.03,-1.16,-0.65,-0.5,-0.62,2.1,-0.76,1.67,-1.38,0.28,-0.01,19906,9965,9941
1641763,Julian Phillips,2026,0.38,0.21,-0.11,0.32,0.17,-0.14,-0.16,0.03,-0.58,1.44,1.13,-0.03,1.16,0.31,0.26,0.03,0.22,-1.09,0.24,1.7,-0.34,0.61,0.27,0.0,6385,3190,3195
1628370,Malik Monk,2026,0.56,0.15,0.13,0.02,0.41,0.37,-0.03,0.42,-0.31,1.05,1.3,0.44,0.86,-0.25,0.14,-0.17,0.31,-1.54,0.93,1.19,0.62,-0.35,0.27,0.0,14233,7125,7108
1628973,Jalen Brunson,2026,1.68,1.37,0.26,1.11,0.31,0.92,0.36,0.54,-0.16,-2.13,-1.85,-0.47,-1.38,-0.28,-0.17,-0.56,0.38,0.11,2.6,-2.3,2.44,-2.19,0.25,-0.0,21917,10988,10929
1630180,Saddiq Bey,2026,0.35,-0.02,0.53,-0.55,0.37,0.81,0.5,0.31,-0.58,0.44,0.51,-0.6,1.11,-0.07,-0.48,-0.05,-0.43,-0.29,1.16,-0.04,0.58,-0.33,0.25,-0.0,9316,4665,4651
1629020,Jarred Vanderbilt,2026,0.61,0.34,-0.56,0.9,0.27,-0.76,-0.68,-0.08,0.76,-0.92,-0.28,-0.37,0.09,-0.64,0.3,0.14,0.16,0.25,-0.15,-0.62,0.61,-0.37,0.24,0.0,7049,3517,3532
1642050,Jackson Rowe,2026,0.09,0.06,-0.1,0.16,0.03,0.02,0.01,0.02,-0.03,0.11,0.17,-0.07,0.24,-0.06,0.03,0.08,-0.05,0.01,0.11,0.14,0.08,0.15,0.23,0.0,221,111,110
1629008,Michael Porter Jr.,2026,1.54,1.73,1.11,0.62,-0.19,-0.01,-0.21,0.21,-0.14,-0.31,-0.49,-1.01,0.52,0.18,-0.47,0.01,-0.48,-0.4,1.53,-0.78,1.39,-1.18,0.22,0.01,19138,9586,9552
