player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1631106,Tari Eason,2026,-0.55,-0.32,-0.39,0.07,-0.23,-0.15,-0.14,-0.01,1.15,1.18,1.04,0.0,1.04,0.14,-0.02,0.29,-0.31,0.18,-0.7,1.16,0.45,1.34,1.78,-0.01,6922,3448,3474
1641717,Cason Wallace,2026,0.24,0.42,0.41,0.01,-0.18,0.4,-0.03,0.44,-1.22,-0.28,-0.52,0.38,-0.9,0.24,1.32,0.45,0.87,1.33,0.64,1.04,-0.58,2.37,1.78,-0.01,8718,4342,4376
1631119,Jaylin Williams,2026,0.73,0.53,0.04,0.49,0.2,0.14,0.28,-0.14,-1.28,2.23,2.14,0.52,1.62,0.09,-0.17,-0.15,-0.01,0.11,0.87,2.06,-0.41,2.17,1.75,-0.01,5406,2698,2708
203954,Joel Embiid,2026,1.94,1.6,-0.26,1.86,0.34,0.35,0.36,-0.01,-0.6,0.91,1.03,0.47,0.56,-0.12,-0.58,0.02,-0.6,-0.33,2.29,0.33,1.69,0.0,1.69,0.0,5323,2665,2658
1642907,Cedric Coward,2026,1.96,1.67,0.07,1.6,0.29,-0.28,-0.17,-0.12,-0.14,1.04,0.87,-0.05,0.92,0.17,-0.51,-0.13,-0.38,-0.4,1.68,0.53,1.54,0.13,1.67,-0.0,6677,3344,3333
1642845,VJ Edgecombe,2026,-0.08,-0.11,-0.06,-0.05,0.03,0.12,0.24,-0.13,0.84,0.72,0.6,0.11,0.49,0.12,0.45,-0.02,0.49,-0.44,0.04,1.17,0.88,0.73,1.62,0.01,11563,5784,5779
1629004,Svi Mykhailiuk,2026,0.9,0.87,0.53,0.34,0.03,-0.09,0.02,-0.12,0.75,0.64,0.52,-0.25,0.77,0.12,-0.34,-0.19,-0.15,-0.25,0.81,0.3,1.56,0.05,1.6,-0.01,4853,2422,2431
1642853,Rasheer Fleming,2026,0.17,0.22,0.18,0.04,-0.05,-0.42,0.03,-0.45,0.87,0.66,0.68,-0.37,1.05,-0.02,-0.06,-0.19,0.13,0.39,-0.25,0.6,0.62,0.99,1.6,-0.01,2681,1334,1347
1629057,Robert Williams III,2026,-0.54,-0.55,0.19,-0.74,0.01,-0.66,-0.45,-0.21,0.96,2.16,2.17,0.22,1.95,-0.01,-0.17,-0.07,-0.1,-0.15,-1.2,1.99,-0.24,1.84,1.6,0.0,4555,2275,2280
203500,Steven Adams,2026,-0.4,-0.62,-0.63,0.01,0.22,-0.61,-0.14,-0.47,0.85,2.1,1.84,0.45,1.39,0.26,-0.51,-0.06,-0.46,0.16,-1.01,1.59,-0.16,1.75,1.59,0.0,2968,1491,1477
1628989,Kevin Huerter,2026,0.68,0.87,-0.07,0.94,-0.19,-0.21,-0.27,0.06,-0.28,1.69,1.59,0.07,1.52,0.1,-0.47,-0.43,-0.05,0.17,0.47,1.22,0.19,1.39,1.59,0.01,6610,3323,3287
1626157,Karl-Anthony Towns,2026,1.44,1.56,0.19,1.37,-0.12,-0.05,0.01,-0.05,-0.19,0.24,0.16,0.1,0.06,0.08,0.14,0.16,-0.02,0.0,1.39,0.38,1.2,0.38,1.57,-0.01,10098,5067,5031
1630202,Payton Pritchard,2026,0.76,1.02,0.11,0.91,-0.26,0.99,0.62,0.37,0.66,0.07,0.14,0.27,-0.13,-0.07,-0.37,-0.01,-0.36,-0.57,1.75,-0.3,2.41,-0.87,1.54,0.0,10633,5326,5307
1630241,Sam Merrill,2026,1.1,0.97,0.86,0.11,0.13,0.35,0.06,0.29,0.31,0.25,0.46,0.51,-0.05,-0.21,-0.16,-0.31,0.15,-0.3,1.45,0.09,1.76,-0.21,1.54,-0.01,6144,3093,3051
1628973,Jalen Brunson,2026,1.52,1.44,-0.45,1.89,0.08,1.03,0.47,0.57,-0.11,-0.98,-0.86,-0.03,-0.83,-0.12,-0.19,-0.5,0.3,0.21,2.55,-1.17,2.44,-0.96,1.48,0.0,11075,5558,5517
1629001,De'Anthony Melton,2026,0.2,0.2,-0.52,0.72,-0.0,-0.0,-0.2,0.2,1.01,-0.4,-0.44,0.15,-0.59,0.04,0.76,0.74,0.02,-0.09,0.2,0.36,1.21,0.27,1.48,0.0,4692,2350,2342
1627884,Derrick Jones Jr.,2026,1.59,1.51,-0.12,1.63,0.08,0.3,0.02,0.28,-0.68,0.43,0.41,0.32,0.09,0.02,0.25,0.22,0.02,-0.42,1.89,0.68,1.21,0.26,1.47,0.0,5446,2723,2723
1630194,Paul Reed,2026,-0.08,0.04,-0.52,0.56,-0.12,-0.45,-0.32,-0.13,0.83,0.67,0.68,0.21,0.47,-0.01,0.61,0.17,0.44,-0.13,-0.53,1.28,0.3,1.15,1.45,-0.0,3681,1831,1850
1631212,Peyton Watson,2026,3.15,3.01,0.69,2.32,0.14,0.07,-0.13,0.2,-0.51,-0.63,-0.51,-0.32,-0.19,-0.12,-0.16,-0.13,-0.03,-0.52,3.22,-0.79,2.71,-1.31,1.4,-0.0,6466,3232,3234
1630532,Franz Wagner,2026,0.9,0.67,-0.06,0.73,0.23,-0.09,-0.23,0.13,-0.1,-0.9,-0.52,0.58,-1.1,-0.38,0.83,-0.06,0.89,0.74,0.81,-0.07,0.71,0.67,1.37,-0.01,4682,2346,2336
1629675,Naz Reid,2026,0.47,0.48,-0.18,0.66,-0.01,0.08,0.31,-0.22,-0.4,0.53,1.02,-0.05,1.07,-0.49,0.34,0.42,-0.07,0.35,0.55,0.87,0.15,1.22,1.37,0.0,9068,4539,4529
1630573,Sam Hauser,2026,0.87,1.12,1.28,-0.16,-0.25,0.64,0.49,0.15,-0.03,0.29,0.11,-0.02,0.13,0.18,-0.86,-0.77,-0.08,0.46,1.51,-0.57,1.48,-0.11,1.37,0.0,8110,4062,4048
1629029,Luka Doncic,2026,2.66,2.43,1.29,1.14,0.23,0.73,-0.02,0.75,-0.79,-0.84,-1.09,-0.48,-0.61,0.25,-0.66,0.06,-0.72,0.26,3.39,-1.5,2.6,-1.24,1.36,0.0,9479,4737,4742
1630619,Moussa Cisse,2026,-0.16,-0.21,0.09,-0.3,0.05,0.21,0.16,0.05,0.37,1.69,1.81,-0.07,1.88,-0.12,0.02,0.31,-0.29,-0.77,0.05,1.71,0.42,0.94,1.35,-0.01,2216,1109,1107
1631095,Jabari Smith Jr.,2026,-0.56,-0.53,-0.29,-0.24,-0.03,0.0,-0.03,0.03,0.93,1.54,1.7,0.39,1.31,-0.16,-0.14,-0.19,0.05,-0.43,-0.56,1.4,0.37,0.97,1.34,0.0,11503,5754,5749
201939,Stephen Curry,2026,3.48,3.48,1.58,1.9,0.0,-0.43,-0.53,0.1,-0.61,-1.05,-1.09,-0.15,-0.94,0.04,0.23,0.07,0.16,-0.29,3.05,-0.82,2.44,-1.11,1.33,0.0,5597,2805,2792
203944,Julius Randle,2026,3.06,2.56,0.16,2.4,0.5,-0.16,0.01,-0.17,-1.2,0.37,0.36,-0.32,0.68,0.01,0.42,0.12,0.3,-1.17,2.9,0.79,1.7,-0.38,1.32,0.0,11471,5731,5740
1630611,Gui Santos,2026,0.44,0.38,0.07,0.31,0.06,-0.38,-0.35,-0.03,0.28,0.82,0.71,0.03,0.68,0.11,0.39,0.43,-0.03,-0.23,0.06,1.21,0.34,0.98,1.31,-0.01,5570,2790,2780
1630228,Jonathan Kuminga,2026,-0.59,-0.75,-0.24,-0.51,0.16,-0.34,-0.31,-0.02,-0.16,1.45,1.63,0.67,0.96,-0.18,0.72,0.07,0.65,0.22,-0.93,2.17,-1.09,2.39,1.3,0.0,4077,2031,2046
1630541,Moses Moody,2026,-0.58,-0.37,-0.1,-0.27,-0.21,-0.4,-0.7,0.31,0.26,2.16,2.04,0.08,1.96,0.12,0.32,-0.13,0.45,-0.48,-0.98,2.48,-0.72,2.0,1.28,-0.0,6261,3134,3127
1631200,Kris Murray,2026,-0.45,-0.72,0.25,-0.97,0.27,-0.66,-0.32,-0.34,0.41,1.13,1.44,-0.13,1.57,-0.31,0.23,-0.02,0.25,0.61,-1.11,1.36,-0.7,1.97,1.27,0.0,5586,2780,2806
1631221,Collin Gillespie,2026,0.75,1.33,0.36,0.97,-0.58,0.24,0.27,-0.02,-0.23,-0.71,-0.72,0.18,-0.9,0.01,0.67,0.07,0.6,0.51,0.99,-0.04,0.76,0.47,1.24,0.01,10023,5007,5016
1630692,Jordan Goodwin,2026,-0.93,-1.0,-0.67,-0.33,0.07,0.08,0.32,-0.25,1.46,-1.3,-0.78,0.07,-0.85,-0.52,1.4,0.56,0.84,0.51,-0.85,0.1,0.61,0.61,1.22,0.0,6292,3136,3156
1642948,Ryan Nembhard,2026,1.2,1.58,-0.23,1.81,-0.38,0.1,0.03,0.08,-0.27,0.83,0.43,0.11,0.32,0.4,-0.47,0.1,-0.57,-0.2,1.3,0.36,1.03,0.16,1.19,0.0,5034,2519,2515
1629632,Coby White,2026,1.2,1.11,0.11,1.0,0.09,0.69,0.66,0.03,0.0,0.23,0.37,0.12,0.25,-0.14,-0.51,-0.52,0.01,-0.43,1.89,-0.28,1.89,-0.71,1.18,-0.0,5108,2547,2561
1642851,Kon Knueppel,2026,2.14,2.3,0.72,1.58,-0.16,-0.21,0.16,-0.37,-0.37,0.32,0.06,0.08,-0.02,0.26,-0.87,-0.88,0.01,0.16,1.93,-0.55,1.56,-0.39,1.17,-0.0,10229,5125,5104
1642396,Blake Hinson,2026,0.06,0.16,-0.13,0.29,-0.1,-0.17,-0.25,0.09,0.45,0.83,0.86,-0.14,1.0,-0.03,0.07,0.13,-0.06,-0.07,-0.11,0.9,0.34,0.83,1.17,0.0,1195,596,599
1629638,Nickeil Alexander-Walker,2026,1.29,1.25,0.19,1.06,0.04,0.68,-0.15,0.82,-0.48,0.15,-0.08,0.42,-0.5,0.23,0.17,-0.0,0.17,-0.69,1.97,0.32,1.49,-0.37,1.12,0.0,11822,5918,5904
