player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1899,James Posey,2003,1.06,-0.31,0.66,-0.53,-1.72,-0.9,-2.28,-0.83,-0.83,-0.0,-0.34,-0.13,-0.21,-0.45,-0.43,0.31,0.07,-0.32,0.36,0.01,0.02,-0.56,-0.39,-0.17,0.65,0.34,0.31,0.09,-1.17,0.09,-1.62,0.18,-1.44,-0.0,9298,4634,4664
299,Glenn Robinson,2003,-1.24,-0.1,0.56,0.2,0.67,0.54,0.6,0.21,-0.26,0.47,-0.29,-0.13,-0.16,-0.14,-0.4,-0.22,-0.01,-0.21,0.42,0.12,-0.69,-0.84,-0.67,-0.17,-0.51,-0.16,-0.35,0.13,-0.08,-1.35,-0.22,-1.22,-1.44,0.0,9936,4981,4955
1924,Lee Nailon,2003,0.79,-0.07,-1.21,0.07,0.42,-0.33,-1.18,-0.19,-0.24,0.05,-0.74,-0.49,-0.24,-0.01,0.3,-0.33,0.03,0.04,-0.33,-0.21,0.21,-0.79,-0.67,-0.12,0.1,-0.04,0.14,0.2,-0.93,-0.69,-0.94,-0.49,-1.44,-0.01,1504,751,753
1952,Raja Bell,2003,-1.06,-0.25,0.62,-0.03,0.44,-0.57,0.17,-0.78,-0.41,-0.37,0.33,0.02,0.32,-1.7,0.11,-0.1,-0.24,0.18,0.13,-0.04,0.5,0.69,0.63,0.06,0.12,0.17,-0.05,-0.12,-0.45,0.81,-2.15,0.69,-1.45,0.01,5846,2904,2942
2039,Keyon Dooling,2003,-0.94,0.17,2.38,-0.3,-1.44,0.01,-1.43,0.2,0.48,-0.28,-0.35,0.05,-0.4,-0.75,0.31,-0.26,-0.4,0.02,0.09,0.05,-0.95,-0.57,-0.36,-0.21,0.07,-0.19,0.27,-0.07,-0.15,-0.5,-0.9,-0.57,-1.47,-0.0,3545,1770,1775
2454,Junior Harrington,2003,0.19,-0.81,-3.08,-1.02,2.89,-0.16,-0.33,-1.96,-1.67,-0.29,-0.79,-0.37,-0.43,-0.33,1.09,-0.23,-0.08,-0.09,-1.01,0.05,1.12,-0.09,0.45,-0.54,0.86,0.67,0.2,0.84,-2.75,0.77,-3.08,1.61,-1.47,0.0,7526,3754,3772
2208,Kedrick Brown,2003,-0.85,-0.04,0.97,-0.56,-0.12,-0.02,-1.68,-1.81,-1.36,-0.45,-0.06,-0.06,0.01,0.31,0.42,-0.08,-0.6,0.04,0.17,0.16,0.34,0.93,0.8,0.13,-0.11,-0.26,0.15,-0.74,-1.87,0.82,-1.56,0.08,-1.48,0.0,2453,1225,1228
1504,Danny Fortson,2003,-0.06,-0.24,-0.63,-0.23,0.69,-0.07,-1.27,-1.03,-0.91,-0.12,-0.42,-0.16,-0.26,0.51,-0.7,0.04,-0.08,-0.13,0.78,0.28,0.28,-0.28,0.01,-0.29,-0.16,0.07,-0.23,-0.11,-1.45,-0.44,-0.94,-0.55,-1.49,0.0,818,406,412
145,Tracy Murray,2003,-0.43,0.2,0.75,-0.14,-0.32,-0.31,-0.03,-0.02,-0.16,0.14,-0.21,-0.17,-0.04,-0.15,-0.29,-0.17,-0.04,-0.16,0.34,0.09,0.08,-1.36,-0.94,-0.42,-0.16,-0.13,-0.03,0.41,-0.23,-1.52,-0.38,-1.11,-1.49,0.0,734,370,364
2253,Sean Lampley,2003,0.54,-0.21,-1.4,-0.4,0.86,-0.2,-2.44,-1.35,-1.29,-0.06,-0.28,-0.18,-0.1,-0.04,-0.31,-0.02,0.04,0.2,0.27,0.08,-0.02,-0.08,-0.16,0.08,0.01,0.0,0.01,0.25,-1.63,-0.07,-1.67,0.18,-1.49,0.0,1729,872,857
