player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1628926,Maria Kliundikova,2025,0.042,1.066,0.073,0.993,-0.714,0.053,-0.767,-0.31,-0.115,-0.195,0.03,-0.098,0.128,0.144,0.747,0.216,0.963,0.0,0.063,0.063,-0.0,0.063,0.632,0.402,0.091,0.31,0.219,-0.031,0.249,0.012,0.049,-0.037,-0.115,-0.045,-0.07,-0.074,-0.164,0.443,0.279,0.0,-0.127,0.022,-0.148,-0.127,0.674,-0.085,-0.144,0.058,0.07,0.584,1.242,0.0,0.963,0.279,1.242,1688,842,846
1627700,Julie Allemand,2025,1.083,0.467,0.195,0.273,1.221,0.505,0.716,-0.606,-0.084,-0.522,0.08,-0.022,0.102,1.063,-0.022,2.225,2.203,-0.0,0.772,0.301,0.471,0.772,-0.988,-0.213,-0.045,-0.167,-0.35,-0.089,-0.26,-0.425,0.041,-0.466,0.19,0.238,-0.048,-0.246,0.076,-1.044,-0.968,0.0,-0.059,0.159,-0.218,-0.059,0.095,0.27,0.216,0.054,0.816,0.054,1.235,-0.0,2.203,-0.968,1.235,5857,2949,2908
1629498,Jackie Young,2025,-0.362,-0.13,-0.223,0.092,-0.417,-0.199,-0.218,0.186,-0.046,0.232,0.278,0.23,0.048,0.25,0.241,0.166,0.406,0.0,0.268,-0.162,0.43,0.268,0.532,0.123,-0.046,0.169,0.244,0.047,0.197,0.165,0.031,0.133,0.169,0.107,0.062,-0.287,0.377,0.413,0.79,-0.0,-0.225,-0.021,-0.205,-0.225,0.17,0.446,0.337,0.11,-0.038,0.618,1.197,0.0,0.406,0.79,1.197,30124,15060,15064
1642303,Leïla Lacan,2025,0.897,1.087,0.045,1.041,0.45,0.003,0.447,-0.64,-0.082,-0.558,-0.154,-0.134,-0.019,-0.252,0.057,0.491,0.548,0.0,-0.278,-0.258,-0.02,-0.278,-0.212,-0.307,0.006,-0.313,0.012,-0.094,0.106,0.084,0.031,0.053,-0.131,-0.167,0.036,0.567,0.316,0.224,0.541,0.0,0.625,0.316,0.309,0.625,0.685,-0.285,-0.301,0.017,0.315,0.373,1.089,0.0,0.548,0.541,1.089,2579,1290,1289
1629477,Sabrina Ionescu,2025,1.606,1.074,-0.082,1.156,0.373,0.28,0.094,0.159,0.05,0.109,-0.022,-0.458,0.436,0.206,-0.691,1.79,1.099,0.0,0.256,0.225,0.031,0.256,0.555,0.407,-0.153,0.56,0.02,-0.055,0.074,0.129,0.024,0.105,0.142,0.196,-0.054,-0.682,-0.121,0.016,-0.105,-0.0,-0.694,-0.172,-0.522,-0.694,2.162,0.12,-0.262,0.382,-0.476,-0.811,0.994,-0.0,1.099,-0.105,0.994,27057,13557,13500
1628279,Brittney Sykes,2025,-0.335,0.036,0.204,-0.168,-0.388,0.057,-0.446,0.018,-0.005,0.023,0.43,0.319,0.111,-0.084,0.07,0.011,0.081,-0.0,0.153,0.123,0.03,0.153,0.196,-0.044,-0.038,-0.006,-0.101,-0.004,-0.097,0.341,-0.025,0.366,-0.307,-0.235,-0.072,1.005,0.002,0.894,0.896,-0.0,0.93,0.231,0.699,0.93,-0.139,0.122,0.083,0.039,0.921,0.072,0.977,-0.0,0.081,0.896,0.977,20478,10242,10236
204324,Dearica Hamby,2025,1.032,0.341,0.434,-0.094,0.353,0.383,-0.03,0.338,-0.013,0.351,0.388,0.54,-0.152,-0.352,-0.124,1.067,0.943,-0.0,-0.576,-0.192,-0.385,-0.576,-0.852,-0.372,0.052,-0.425,-0.583,-0.069,-0.515,0.104,-0.038,0.142,0.198,0.201,-0.003,-0.019,0.599,-0.673,-0.074,0.0,-0.036,-0.117,0.081,-0.036,0.18,0.586,0.741,-0.156,-0.371,0.475,0.869,-0.0,0.943,-0.074,0.869,22691,11344,11347
1641656,Laeticia Amihere,2025,0.272,0.037,0.176,-0.139,0.565,0.434,0.131,-0.331,-0.049,-0.282,1.067,0.942,0.125,0.227,-0.215,1.566,1.351,-0.0,-0.075,0.281,-0.357,-0.075,-0.164,-0.046,0.108,-0.154,0.103,-0.045,0.148,-0.221,0.005,-0.225,-0.009,-0.109,0.1,-0.273,-0.148,-0.445,-0.593,0.0,-0.193,-0.088,-0.104,-0.193,0.108,1.058,0.834,0.225,-0.046,-0.363,0.758,0.0,1.351,-0.593,0.758,2073,1040,1033
100720,Sue Bird,2025,1.098,0.654,0.017,0.637,-0.296,-0.081,-0.215,0.74,0.151,0.589,-0.122,-0.238,0.117,0.27,-0.518,1.246,0.728,0.0,0.203,-0.134,0.337,0.203,-0.215,-0.123,0.037,-0.159,0.065,0.153,-0.088,-0.158,-0.047,-0.111,0.124,0.089,0.035,-0.077,0.152,-0.168,-0.016,-0.0,-0.013,0.023,-0.036,-0.013,0.883,0.002,-0.15,0.152,0.193,-0.366,0.712,0.0,0.728,-0.016,0.712,7128,3564,3564
1628909,Kelsey Mitchell,2025,0.146,-0.068,0.296,-0.364,-0.048,0.29,-0.338,0.263,-0.012,0.275,0.115,0.048,0.067,0.501,0.662,0.761,1.423,0.0,0.327,0.188,0.139,0.327,-0.772,-0.02,-0.04,0.02,-0.037,0.084,-0.121,-0.716,0.011,-0.726,0.021,-0.015,0.036,0.291,-0.259,-0.46,-0.719,-0.0,0.235,-0.131,0.365,0.235,-0.626,0.136,0.033,0.103,0.792,0.403,0.704,-0.0,1.423,-0.719,0.704,26111,13063,13048
