player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1630170,Devin Vassell,2026,1.64,0.08,0.62,0.3,-0.05,-0.32,1.36,0.17,-0.65,-0.12,-0.29,-0.11,1.91,0.72,2.63,0.09,-0.39,2.3,-0.15,0.87,0.3,-0.76,8087,4048,4039
1628978,Donte DiVincenzo,2026,1.14,-0.36,-0.0,-0.14,0.03,-0.36,1.18,0.01,0.64,0.2,-0.22,-0.16,0.84,1.73,2.57,0.13,0.27,0.57,-0.39,2.12,-0.36,0.48,10241,5118,5123
1630540,Miles McBride,2026,0.04,0.26,0.93,0.74,0.23,0.81,0.49,-0.21,0.04,0.43,-0.29,0.11,2.03,0.51,2.54,0.12,1.76,0.27,0.02,0.49,1.74,0.15,4223,2116,2107
203500,Steven Adams,2026,-2.44,0.02,-1.22,-0.19,-0.67,4.22,1.97,0.23,-0.77,-0.03,-0.57,0.56,0.65,1.87,2.53,0.21,0.69,-0.04,0.46,1.41,3.0,-0.21,2968,1491,1477
1642851,Kon Knueppel,2026,2.12,-0.3,-0.25,0.06,-0.56,0.45,0.3,0.17,-0.95,-0.57,0.06,0.76,2.39,0.13,2.52,0.09,-0.39,2.78,0.4,-0.27,0.2,-0.19,9988,5005,4983
1629057,Robert Williams III,2026,-0.09,-0.03,-1.1,-0.54,-0.52,1.38,2.63,-0.1,-0.33,0.29,0.18,-0.01,0.22,2.26,2.48,0.0,0.74,-0.52,-0.39,2.65,0.28,-0.34,3926,1961,1965
201935,James Harden,2026,3.67,0.95,0.29,0.01,0.01,-0.32,-0.44,-0.1,-0.85,-0.41,-0.24,-0.08,3.61,-1.16,2.45,0.18,-0.68,4.29,-0.69,-0.47,-0.03,-0.93,9507,4766,4741
1630188,Jalen Smith,2026,0.73,-0.24,-0.2,0.48,-0.33,0.73,0.71,0.01,-0.56,-0.51,0.04,0.73,1.58,0.87,2.44,0.3,0.33,1.25,0.26,0.61,0.53,0.17,4578,2286,2292
1631114,Jalen Williams,2026,0.8,0.18,0.71,0.62,-0.01,-0.15,-0.13,0.1,1.0,0.1,0.52,-0.11,1.38,0.94,2.32,0.2,0.08,1.3,0.53,0.41,0.56,0.89,3643,1819,1824
203991,Clint Capela,2026,-2.94,-0.52,-0.61,0.0,-0.0,2.42,3.23,0.25,-0.4,-0.25,0.4,0.52,-1.04,3.31,2.27,0.05,0.92,-1.96,0.22,3.09,1.81,0.12,3506,1751,1755
