player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1630113,Ruthy Hebard,2025,0.651,0.511,0.062,0.449,-0.263,-0.279,0.016,0.403,0.069,0.334,-0.051,-0.205,-1.022,0.395,-0.627,-0.0,-0.038,0.291,-0.329,-0.038,-1.277,-0.818,-0.196,-0.622,-0.606,-0.107,-0.5,0.147,-0.032,0.179,-0.318,0.739,0.137,-0.856,-0.718,0.0,0.805,0.344,0.461,0.805,-0.626,-0.369,0.534,-0.885,-1.346,0.0,-0.627,-0.718,-1.346,3546,1760,1786
1642808,JJ Quinerly,2025,0.325,-0.076,0.009,-0.084,-0.077,-0.087,0.01,0.477,-0.074,0.551,-0.008,0.144,-0.664,0.46,-0.204,-0.0,0.004,0.296,-0.292,0.004,-0.717,-0.397,0.038,-0.435,0.201,-0.07,0.271,-0.521,0.038,-0.56,0.012,-0.204,-0.234,-0.91,-1.144,0.0,-0.144,-0.138,-0.006,-0.144,-0.393,0.004,-0.061,-0.899,-1.349,0.0,-0.204,-1.144,-1.349,2036,1015,1021
1631013,Aisha Sheppard,2025,0.47,0.199,-0.062,0.261,-0.19,0.063,-0.252,0.461,0.033,0.428,0.185,-0.081,-0.791,0.573,-0.218,0.0,0.204,0.167,0.037,0.204,0.067,0.024,0.02,0.004,-0.087,-0.031,-0.056,0.13,-0.026,0.156,-0.119,-0.679,-0.434,-0.731,-1.165,0.0,-0.491,-0.395,-0.096,-0.491,0.536,0.066,-0.76,-1.226,-1.384,0.0,-0.218,-1.165,-1.384,734,361,373
201919,Shavonte Zellous,2025,0.587,-0.295,-0.091,-0.204,0.598,-0.071,0.669,0.285,0.108,0.177,-0.166,-0.404,-1.002,0.018,-0.984,-0.0,-0.239,0.125,-0.364,-0.239,-0.387,-0.343,-0.033,-0.31,0.535,0.035,0.499,-0.579,-0.021,-0.558,0.058,-0.24,0.165,-0.569,-0.404,0.0,-0.44,-0.282,-0.158,-0.44,0.2,-0.107,-0.644,-0.837,-1.388,-0.0,-0.984,-0.404,-1.388,1651,820,831
1642814,Taylor Thierry,2025,-0.77,-0.189,0.003,-0.192,-0.109,0.017,-0.126,-0.471,-0.004,-0.467,-0.122,-0.061,0.073,-0.953,-0.88,0.0,-0.03,0.022,-0.052,-0.03,-0.192,-0.042,-0.032,-0.01,-0.121,-0.043,-0.078,-0.029,0.004,-0.033,-0.062,-0.217,-0.043,-0.471,-0.514,0.0,-0.09,-0.03,-0.06,-0.09,-0.962,-0.184,-0.278,0.03,-1.394,0.0,-0.88,-0.514,-1.394,108,49,59
1641659,Taylor Mikesell,2025,-0.314,0.009,-0.03,0.039,-0.161,-0.062,-0.099,-0.162,0.008,-0.171,0.128,-0.285,-0.252,-0.47,-0.723,0.0,-0.41,-0.212,-0.197,-0.41,-0.159,0.035,-0.004,0.039,-0.104,-0.008,-0.096,-0.091,0.001,-0.091,-0.13,-0.165,-0.266,-0.454,-0.72,0.0,-0.119,-0.094,-0.025,-0.119,-0.473,-0.001,-0.449,-0.518,-1.442,0.0,-0.723,-0.72,-1.442,93,49,44
1642301,Marquesha Davis,2025,-0.779,-0.046,-0.064,0.018,-0.398,-0.026,-0.372,-0.335,-0.006,-0.329,0.032,-0.396,0.303,-1.144,-0.841,0.0,-0.279,-0.231,-0.048,-0.279,-0.311,-0.085,0.018,-0.103,-0.168,-0.022,-0.146,-0.059,-0.0,-0.059,-0.031,-0.118,-0.144,-0.46,-0.604,0.0,-0.071,-0.039,-0.032,-0.071,-1.091,0.001,-0.514,0.159,-1.445,0.0,-0.841,-0.604,-1.445,164,82,82
1630118,Stella Johnson,2025,-0.735,-0.023,-0.017,-0.005,-0.281,-0.005,-0.276,-0.432,0.003,-0.434,-0.075,-0.556,0.164,-1.366,-1.202,0.0,-0.437,0.003,-0.44,-0.437,-0.115,-0.103,-0.013,-0.09,0.022,-0.037,0.059,-0.034,-0.0,-0.034,-0.063,-0.064,-0.001,-0.242,-0.244,0.0,-0.071,-0.067,-0.003,-0.071,-0.85,-0.138,-0.62,0.162,-1.446,0.0,-1.202,-0.244,-1.446,113,57,56
1641654,Stephanie Soares,2025,-0.691,-0.248,-0.01,-0.239,-0.282,-0.032,-0.25,-0.16,-0.011,-0.149,-0.052,-0.382,0.225,-1.124,-0.898,0.0,-0.499,-0.523,0.025,-0.499,0.304,0.193,-0.032,0.225,-0.039,-0.01,-0.029,0.15,0.012,0.138,-0.122,-0.509,-0.226,-0.326,-0.552,0.0,-0.171,-0.009,-0.162,-0.171,-0.386,-0.173,-0.89,-0.0,-1.45,0.0,-0.898,-0.552,-1.45,437,217,220
1629568,Kennedy Burke,2025,0.5,0.35,-0.004,0.354,-0.134,0.337,-0.472,0.285,-0.074,0.359,0.152,-1.536,0.177,-0.884,-0.707,-0.0,-1.302,-0.671,-0.631,-1.302,-0.437,0.036,0.037,-0.001,-0.488,-0.105,-0.384,0.015,0.036,-0.02,0.136,-0.085,-0.361,-0.386,-0.747,0.0,0.276,0.457,-0.181,0.276,0.063,0.288,-1.621,-0.184,-1.454,0.0,-0.707,-0.747,-1.454,4958,2475,2483
1627669,Moriah Jefferson,2025,1.364,-0.602,-0.138,-0.464,0.604,-0.508,1.112,1.362,0.087,1.276,-0.676,-1.105,0.525,-0.417,0.109,-0.0,-0.545,-0.311,-0.234,-0.545,-0.778,-0.455,-0.037,-0.419,0.007,0.091,-0.084,-0.33,-0.075,-0.255,0.129,-0.199,-0.716,-0.848,-1.564,0.0,-0.328,-0.046,-0.283,-0.328,0.586,-0.547,-1.304,-0.19,-1.455,-0.0,0.109,-1.564,-1.455,8579,4264,4315
1642822,Kaitlyn Chen,2025,-0.859,-0.138,-0.039,-0.098,-0.183,0.215,-0.398,-0.539,-0.033,-0.505,0.028,-0.437,0.003,-1.268,-1.265,0.0,0.019,0.093,-0.074,0.019,0.303,-0.142,0.022,-0.163,0.145,-0.114,0.259,0.3,0.014,0.286,-0.053,-0.379,-0.067,-0.129,-0.195,0.0,-0.235,-0.143,-0.092,-0.235,-0.556,-0.025,-0.816,-0.063,-1.46,0.0,-1.265,-0.195,-1.46,882,434,448
204327,Brittany Boyd-Jones,2025,-0.608,0.055,-0.021,0.076,-0.445,-0.035,-0.41,-0.218,0.003,-0.221,-0.082,-0.205,-0.114,-0.895,-1.009,0.0,-0.086,-0.071,-0.015,-0.086,0.077,0.045,-0.003,0.049,-0.022,-0.046,0.024,0.054,-0.003,0.056,-0.115,-0.269,-0.163,-0.307,-0.47,0.0,-0.238,-0.126,-0.112,-0.238,-0.531,-0.198,-0.474,-0.277,-1.479,0.0,-1.009,-0.47,-1.479,83,41,42
1630440,Chelsea Dungee,2025,-1.289,-0.296,-0.062,-0.234,-0.258,-0.005,-0.253,-0.735,0.044,-0.779,-0.086,-0.058,-0.072,-1.433,-1.506,0.0,-0.107,-0.102,-0.005,-0.107,0.13,-0.09,-0.003,-0.087,0.096,-0.027,0.123,0.124,-0.008,0.132,-0.061,-0.097,0.047,-0.028,0.019,0.0,-0.061,-0.023,-0.038,-0.061,-1.159,-0.146,-0.155,-0.025,-1.486,0.0,-1.506,0.019,-1.486,212,105,107
1631021,Sika Koné,2025,-0.436,-0.559,-0.167,-0.391,-0.215,-0.105,-0.11,0.337,0.024,0.313,-0.114,-1.016,0.544,-1.566,-1.022,0.0,-0.778,-0.55,-0.228,-0.778,0.254,-0.057,0.012,-0.069,0.432,-0.023,0.455,-0.122,-0.016,-0.106,-0.156,-0.687,0.116,-0.59,-0.474,0.0,-0.504,-0.24,-0.264,-0.504,-0.182,-0.27,-1.704,0.66,-1.496,0.0,-1.022,-0.474,-1.496,972,472,500
