player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1709,Michael Olowokandi,2002,-3.26,-1.91,-1.35,-0.83,-0.03,-0.79,-0.17,1.13,0.03,1.1,-1.08,-0.51,-0.57,0.19,-4.09,0.05,-4.26,0.24,-4.02,0.0,26523,13211,13312
63,Michael Smith,2002,-2.4,-2.48,0.08,-1.02,-0.72,-0.3,0.9,-0.92,-0.98,0.06,-0.44,-0.31,-0.13,-0.15,-3.42,-1.36,-2.52,-1.51,-4.03,0.0,10527,5212,5315
765,Hersey Hawkins,2002,-2.41,-2.68,0.27,-0.37,-0.32,-0.04,-0.74,0.48,0.5,-0.02,-0.27,0.14,-0.41,-0.72,-2.78,0.21,-3.52,-0.51,-4.04,-0.01,8357,4166,4191
323,Greg Foster,2002,-2.89,-2.32,-0.57,-0.08,0.29,-0.38,-0.52,-0.48,-0.64,0.16,-0.37,-0.27,-0.1,0.21,-2.97,-0.85,-3.49,-0.64,-4.13,0.0,4667,2315,2352
190,Duane Causwell,2002,-1.06,-0.74,-0.32,-1.05,-0.09,-0.97,0.11,-0.86,-0.55,-0.31,-0.13,-0.01,-0.13,-1.16,-2.11,-0.99,-2.0,-2.15,-4.14,0.01,2033,1015,1018
1134,Ike Austin,2002,-2.03,-1.32,-0.71,-0.5,-0.07,-0.44,-1.76,-0.77,-1.25,0.48,-0.16,-0.2,0.03,1.09,-2.53,-0.93,-4.29,0.16,-4.14,-0.01,8881,4441,4440
2357,Tierre Brown,2002,-3.03,-2.88,-0.15,-0.03,0.12,-0.15,-0.48,-1.18,-1.3,0.12,0.06,0.19,-0.13,0.44,-3.06,-1.12,-3.54,-0.68,-4.22,0.0,1469,735,734
2063,Jake Voskuhl,2002,-2.5,-1.97,-0.53,-0.87,-0.44,-0.44,0.48,-1.08,-1.19,0.11,-0.24,-0.18,-0.05,-0.07,-3.37,-1.32,-2.89,-1.39,-4.28,0.0,3834,1911,1923
2036,Chris Mihm,2002,-2.67,-2.35,-0.32,-0.99,-0.67,-0.31,-0.54,1.04,0.55,0.49,-0.57,-0.34,-0.23,-0.68,-3.66,0.47,-4.2,-0.21,-4.41,0.0,10478,5233,5245
2044,Jason Collier,2002,-3.51,-3.0,-0.51,-0.12,0.09,-0.2,0.44,-1.81,-1.76,-0.05,0.51,0.19,0.33,0.06,-3.63,-1.3,-3.19,-1.24,-4.42,0.01,2109,1053,1056
902,Bimbo Coles,2002,-2.63,-2.46,-0.17,0.15,0.61,-0.45,-0.05,-1.31,-1.43,0.12,-0.04,-0.17,0.13,-0.61,-2.48,-1.35,-2.53,-1.96,-4.49,0.0,12623,6294,6329
969,Travis Knight,2002,-3.4,-3.23,-0.17,-0.49,-0.04,-0.45,0.01,-0.81,-0.16,-0.65,-0.12,0.18,-0.29,0.29,-3.89,-0.93,-3.88,-0.64,-4.51,0.01,4146,2058,2088
916,Corie Blount,2002,-3.3,-2.57,-0.73,-0.76,-0.34,-0.42,0.67,-1.55,-1.11,-0.44,0.21,0.08,0.13,0.18,-4.06,-1.34,-3.39,-1.16,-4.56,-0.01,12769,6362,6407
1520,Charles Smith,2002,-2.84,-2.03,-0.81,-0.34,-0.24,-0.1,-0.05,-1.77,-1.55,-0.22,0.26,0.53,-0.27,0.16,-3.18,-1.51,-3.23,-1.35,-4.58,0.0,4459,2231,2228
2042,Courtney Alexander,2002,-1.52,-1.8,0.28,-0.48,-0.48,-0.0,-0.47,-1.76,-1.44,-0.32,0.07,-0.01,0.08,-0.42,-2.0,-1.69,-2.47,-2.11,-4.58,-0.0,10116,5033,5083
1895,William Avery,2002,-2.53,-2.24,-0.29,-0.89,-0.58,-0.32,0.0,-0.98,-0.7,-0.28,-0.01,0.14,-0.14,-0.28,-3.42,-0.99,-3.42,-1.27,-4.69,0.0,4524,2261,2263
435,Carlos Rogers,2002,-1.98,-1.52,-0.46,-1.31,-0.86,-0.45,0.3,-0.8,-1.25,0.45,-0.16,-0.03,-0.13,-0.79,-3.29,-0.96,-2.99,-1.75,-4.74,0.0,6809,3392,3417
961,John Wallace,2002,-1.62,-1.43,-0.19,-0.84,-0.45,-0.4,-0.07,-1.77,-1.37,-0.4,-0.62,-0.41,-0.21,0.04,-2.46,-2.39,-2.53,-2.35,-4.88,0.0,6572,3289,3283
1508,Maurice Taylor,2002,-1.82,-1.27,-0.55,-0.24,0.0,-0.24,-1.4,-1.64,-1.58,-0.06,-0.16,-0.29,0.14,0.32,-2.06,-1.8,-3.46,-1.48,-4.94,-0.0,15971,7975,7996
788,Kevin Willis,2002,-3.58,-2.8,-0.78,-0.62,-0.32,-0.29,0.11,-0.28,-0.8,0.52,-0.61,0.05,-0.66,-0.01,-4.2,-0.89,-4.09,-0.9,-4.99,0.0,16412,8185,8227
376,Eric Montross,2002,-1.85,-1.19,-0.66,-1.03,-0.54,-0.49,-0.47,-1.66,-1.4,-0.26,-0.21,-0.23,0.03,0.21,-2.88,-1.87,-3.35,-1.66,-5.01,0.0,6222,3084,3138
955,Samaki Walker,2002,-2.55,-1.43,-1.12,-0.42,-0.09,-0.34,-0.19,-0.17,-0.59,0.42,-0.94,-0.43,-0.51,-0.78,-2.97,-1.11,-3.16,-1.89,-5.05,0.0,14920,7440,7480
753,Randy Brown,2002,-2.08,-1.58,-0.5,-0.8,-0.09,-0.73,-0.91,-2.63,-2.41,-0.22,0.48,0.03,0.45,0.69,-2.88,-2.15,-3.79,-1.46,-5.25,0.0,10605,5291,5314
2061,Dan Langhi,2002,-3.57,-2.97,-0.6,0.08,-0.04,0.11,-0.24,-1.4,-1.46,0.06,-0.38,0.19,-0.58,0.07,-3.49,-1.78,-3.73,-1.71,-5.44,-0.0,2429,1211,1218
680,John Amaechi,2002,-2.96,-2.73,-0.23,-1.46,-1.2,-0.26,-0.81,-0.81,-1.01,0.2,-0.04,0.17,-0.21,-0.63,-4.42,-0.85,-5.23,-1.48,-6.71,0.0,15315,7673,7642
