player_id,player_name,possessions,off_poss,def_poss,oTS,dTS,net_ts,oSQ,oFT,oCONTEST,dSQ,dFT,dCONTEST,oRESID,dRESID
204001,Kristaps Porzingis,16749,8339,8410,0.09,-0.94,1.03,-0.1,0.68,-0.44,0.0,-0.34,-0.67,-0.05,0.07
1631212,Peyton Watson,20477,9984,10493,-0.25,-1.28,1.02,0.19,-0.29,0.13,-0.17,0.52,-1.55,-0.28,-0.08
201935,James Harden,32677,16253,16424,2.29,1.28,1.01,1.23,1.57,-0.53,0.1,0.07,0.91,0.02,0.2
1630191,Isaiah Stewart,17151,8472,8679,-0.79,-1.8,1.01,-0.69,0.04,-0.12,-0.87,0.19,-1.21,-0.02,0.09
1641763,Julian Phillips,7651,3786,3865,-0.13,-1.13,1.0,0.15,0.03,-0.16,0.05,0.1,-1.19,-0.15,-0.09
1627736,Malik Beasley,20492,10195,10297,0.5,-0.49,0.99,-0.24,-0.22,1.13,-0.25,0.17,-0.35,-0.17,-0.06
1630217,Desmond Bane,27214,13702,13512,1.22,0.25,0.97,-0.33,0.47,0.81,-0.36,0.31,0.22,0.27,0.08
1629639,Tyler Herro,22108,10989,11119,1.37,0.44,0.93,0.73,-0.26,0.97,-0.06,-0.14,0.42,-0.07,0.22
1630241,Sam Merrill,16864,8498,8366,0.1,-0.81,0.91,0.98,-0.21,-0.96,-0.64,0.31,-0.59,0.29,0.11
1628960,Grayson Allen,22598,11223,11375,1.77,0.91,0.86,1.0,0.5,0.27,0.06,-0.11,0.94,0.0,0.02
1641706,Brandon Miller,21256,10677,10579,0.38,-0.45,0.83,0.6,0.11,-0.61,0.31,-0.06,-0.76,0.28,0.06
1630183,Jaden McDaniels,32143,15978,16165,-0.27,-1.06,0.79,0.47,-0.13,-0.5,-0.0,0.0,-1.16,-0.11,0.1
1628991,Jaren Jackson Jr.,24769,12387,12382,-1.57,-2.36,0.79,-0.99,0.68,-1.24,-0.31,-0.02,-1.89,-0.02,-0.14
1630230,Naji Marshall,22550,11145,11405,0.29,-0.43,0.72,-0.39,0.62,0.03,-0.02,-0.24,-0.31,0.03,0.14
1628467,Maxi Kleber,8806,4355,4451,0.92,0.22,0.69,-0.2,0.47,0.71,-0.32,-0.03,0.52,-0.06,0.05
1642278,Tyler Kolek,4074,2034,2040,-0.7,-1.39,0.68,-0.17,-0.47,-0.23,-0.29,-0.06,-1.15,0.17,0.11
1630178,Tyrese Maxey,30487,15431,15056,0.92,0.24,0.68,-0.08,0.84,0.28,0.88,0.34,-1.07,-0.12,0.09
1630631,Jose Alvarado,15493,7799,7694,-0.58,-1.26,0.68,-0.33,-0.19,-0.19,-0.1,0.09,-1.4,0.13,0.15
1629004,Svi Mykhailiuk,9841,4924,4917,0.54,-0.11,0.65,0.47,-0.22,0.34,0.47,0.15,-0.7,-0.05,-0.03
1642949,Yanic Konan Niederhäuser,1683,823,860,0.2,-0.45,0.65,0.0,0.11,0.12,-0.17,0.11,-0.38,-0.03,-0.01
1642885,Mohamed Diawara,2700,1361,1339,0.29,-0.35,0.64,-0.26,-0.45,0.69,-0.3,0.13,-0.03,0.31,-0.15
1629627,Zion Williamson,20527,10357,10170,0.42,-0.22,0.64,0.52,0.12,-0.42,0.62,0.21,-0.97,0.2,-0.08
1641708,Amen Thompson,27945,14258,13687,-1.06,-1.66,0.61,-0.26,-0.51,-0.62,-0.55,-0.04,-1.31,0.33,0.24
203500,Steven Adams,7031,3645,3386,-2.24,-2.83,0.59,-1.4,-0.33,-0.18,-0.87,-0.57,-1.11,-0.33,-0.28
203486,Mason Plumlee,8986,4442,4544,1.2,0.62,0.58,0.43,-0.3,1.11,-0.34,-0.48,1.64,-0.04,-0.2
