player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1630557,Corey Kispert,2026,-1.5,-1.22,0.44,-1.66,-0.28,0.03,0.06,-0.02,-0.2,-0.2,-0.33,0.37,-0.7,0.13,-0.67,-0.37,-0.3,-0.06,-1.47,-0.87,-1.67,-0.93,-2.6,0.0,4467,2230,2237
1642847,Jeremiah Fears,2026,-1.48,-1.43,-0.53,-0.9,-0.05,-0.09,-0.28,0.19,0.64,-1.4,-1.57,-0.36,-1.21,0.17,0.02,0.27,-0.24,-0.31,-1.57,-1.38,-0.93,-1.69,-2.63,-0.01,8834,4430,4404
1631174,Tyler Burton,2026,-1.03,-1.03,0.03,-1.06,-0.0,-0.05,-0.22,0.17,-0.72,-0.42,-0.44,-0.68,0.24,0.02,0.17,0.36,-0.17,-0.59,-1.08,-0.25,-1.8,-0.84,-2.64,0.0,1282,641,641
1629162,Jordan McLaughlin,2026,-0.58,-0.55,-0.33,-0.22,-0.03,-0.58,-0.1,-0.48,-0.63,-0.9,-0.89,0.38,-1.27,-0.01,0.16,0.33,-0.17,-0.12,-1.16,-0.74,-1.79,-0.86,-2.66,-0.01,1137,569,568
203114,Khris Middleton,2026,-0.32,-0.58,-0.06,-0.52,0.26,0.48,-0.14,0.63,-0.43,-1.4,-1.36,-0.32,-1.04,-0.04,-0.42,-0.16,-0.27,-0.57,0.16,-1.82,-0.27,-2.39,-2.67,-0.01,6052,3033,3019
203926,Doug McDermott,2026,-1.35,-1.11,-0.03,-1.08,-0.24,-0.26,-0.48,0.21,-0.33,-0.14,-0.27,-0.07,-0.2,0.13,0.08,-0.07,0.15,-0.68,-1.61,-0.06,-1.94,-0.74,-2.68,0.0,1788,898,890
1643007,Taelon Peter,2026,-0.44,-0.05,0.72,-0.77,-0.39,-0.63,-0.56,-0.08,-0.68,-0.81,-0.67,-0.04,-0.63,-0.14,-0.08,-0.16,0.08,-0.03,-1.07,-0.89,-1.75,-0.92,-2.68,-0.01,1995,1002,993
1630560,Cam Thomas,2026,-0.21,-0.31,-0.11,-0.2,0.1,0.29,0.33,-0.03,0.76,-2.03,-1.88,-0.4,-1.48,-0.15,-0.7,-0.28,-0.42,-0.8,0.08,-2.73,0.84,-3.53,-2.69,0.0,3423,1717,1706
1630579,Jericho Sims,2026,0.68,1.05,-0.05,1.1,-0.37,-1.04,-0.55,-0.49,0.08,-1.79,-1.7,-0.06,-1.64,-0.09,-0.78,-0.21,-0.57,0.15,-0.36,-2.57,-0.28,-2.42,-2.7,-0.0,5173,2579,2594
1631351,Lucas Williamson,2026,-0.54,-0.26,0.08,-0.34,-0.28,0.14,-0.06,0.2,-0.57,-1.52,-1.47,-0.3,-1.17,-0.05,0.03,0.09,-0.05,-0.27,-0.4,-1.49,-0.97,-1.76,-2.73,0.0,982,490,492
201942,DeMar DeRozan,2026,0.65,0.28,-1.62,1.9,0.37,-0.02,0.29,-0.31,-0.8,-2.33,-2.57,-0.49,-2.08,0.24,-0.44,0.07,-0.51,0.21,0.63,-2.77,-0.17,-2.56,-2.73,0.0,9886,4954,4932
1630192,Zeke Nnaji,2026,-0.82,-0.87,-0.05,-0.82,0.05,-0.77,-0.03,-0.73,-0.51,0.46,0.39,-0.32,0.71,0.07,-0.21,-0.17,-0.05,-0.93,-1.59,0.25,-2.1,-0.68,-2.79,-0.01,2482,1229,1253
1631342,Daeqwon Plowden,2026,-0.91,-0.66,0.24,-0.9,-0.25,0.05,0.02,0.02,0.41,-2.46,-2.44,0.31,-2.75,-0.02,0.06,-0.02,0.09,0.04,-0.86,-2.4,-0.45,-2.36,-2.81,0.0,3449,1724,1725
1641774,Tristan Vukcevic,2026,0.03,0.06,-0.22,0.28,-0.03,-0.64,-0.5,-0.14,-1.14,0.33,0.24,-0.43,0.67,0.09,-0.22,0.19,-0.41,-1.18,-0.61,0.11,-1.75,-1.07,-2.82,0.0,2776,1389,1387
1631110,Jeremy Sochan,2026,-0.94,-0.82,-0.12,-0.7,-0.12,-0.68,-0.34,-0.34,-0.56,-0.91,-0.54,-0.02,-0.52,-0.37,0.73,0.22,0.51,-0.48,-1.62,-0.18,-2.18,-0.66,-2.84,0.0,1991,993,998
1643253,Toby Okani,2026,-1.36,-1.03,0.12,-1.15,-0.33,0.1,-0.09,0.2,-0.33,-0.63,-0.66,-0.25,-0.41,0.03,-0.1,0.02,-0.12,-0.56,-1.26,-0.73,-1.59,-1.29,-2.88,0.0,947,470,477
1630545,Terrence Shannon Jr.,2026,-0.07,-0.26,-0.24,-0.02,0.19,0.13,0.24,-0.12,-0.15,-2.25,-2.03,-0.24,-1.79,-0.22,-0.43,-0.28,-0.15,-0.17,0.06,-2.68,-0.09,-2.85,-2.94,0.0,2198,1100,1098
1642262,Cody Williams,2026,0.36,0.62,0.1,0.52,-0.26,-0.06,-0.07,0.01,-1.58,-2.11,-2.32,-0.55,-1.77,0.21,0.26,0.41,-0.16,0.07,0.3,-1.85,-1.28,-1.78,-3.07,-0.01,6966,3478,3488
1630171,Isaac Okoro,2026,0.7,0.77,-0.25,1.02,-0.07,-0.07,0.37,-0.43,-0.52,-1.79,-1.82,-0.1,-1.72,0.03,-0.88,-0.5,-0.38,-0.54,0.63,-2.67,0.11,-3.21,-3.1,0.0,7112,3553,3559
1643016,Bez Mbeng,2026,-0.92,-0.6,-0.11,-0.49,-0.32,-0.16,-0.17,0.02,-0.72,-1.27,-1.1,-0.01,-1.09,-0.17,0.17,0.15,0.01,-0.21,-1.08,-1.1,-1.8,-1.31,-3.11,0.0,2149,1071,1078
203482,Kelly Olynyk,2026,-1.4,-1.11,-0.4,-0.71,-0.29,-0.47,-0.2,-0.27,-0.64,-0.66,-0.54,-0.06,-0.48,-0.12,-0.22,-0.42,0.2,0.19,-1.87,-0.88,-2.51,-0.69,-3.2,0.0,1458,738,720
1628971,Bruce Brown,2026,-1.34,-1.32,0.22,-1.54,-0.02,-0.22,-0.26,0.03,-0.65,-0.77,-0.73,0.09,-0.82,-0.04,-0.63,-0.01,-0.63,0.33,-1.56,-1.4,-2.21,-1.07,-3.28,0.0,8061,4017,4044
1630570,Trendon Watford,2026,-0.9,-1.09,-0.23,-0.86,0.19,-0.5,0.13,-0.64,-0.44,-0.51,-0.47,-0.2,-0.27,-0.04,-0.43,-0.42,-0.01,-0.54,-1.4,-0.94,-1.84,-1.48,-3.32,0.0,3571,1778,1793
1642942,Jahmai Mashack,2026,-1.21,-0.99,-0.42,-0.57,-0.22,-0.35,0.21,-0.56,-0.31,-1.22,-1.07,-0.41,-0.66,-0.15,0.42,-0.09,0.51,-0.75,-1.56,-0.8,-1.87,-1.55,-3.42,0.0,2829,1410,1419
1642964,Brooks Barnhizer,2026,-2.16,-2.15,-0.25,-1.9,-0.01,-0.05,0.03,-0.08,-0.34,-0.23,-0.42,0.05,-0.47,0.19,-0.12,-0.0,-0.12,-0.52,-2.21,-0.35,-2.55,-0.87,-3.42,0.0,1411,700,711
1642879,Ben Saraf,2026,-1.5,-1.35,-0.64,-0.71,-0.15,-0.99,-0.44,-0.54,-0.01,-1.49,-1.19,0.04,-1.23,-0.3,0.43,0.44,-0.01,0.0,-2.49,-1.06,-2.5,-1.06,-3.56,0.0,3702,1854,1848
1642860,Will Riley,2026,-0.4,-0.55,-0.62,0.07,0.15,-0.36,-0.14,-0.22,-0.48,-1.92,-1.8,-0.55,-1.25,-0.12,-0.09,-0.15,0.06,-0.34,-0.76,-2.01,-1.24,-2.35,-3.6,-0.01,6700,3350,3350
1642380,Adama Bal,2026,-0.81,-0.7,0.14,-0.84,-0.11,-0.23,-0.23,0.0,-0.73,-1.52,-1.66,-0.5,-1.16,0.14,0.12,0.09,0.02,-0.51,-1.04,-1.4,-1.77,-1.91,-3.68,-0.0,1038,517,521
1626220,Royce O'Neale,2026,0.04,0.33,0.14,0.19,-0.29,-0.45,-0.01,-0.43,-1.58,-0.28,-0.52,-0.12,-0.4,0.24,-0.4,-0.21,-0.19,-1.02,-0.41,-0.68,-1.99,-1.7,-3.7,-0.01,9226,4628,4598
